"Subject","Experiment","ratio","Condition"
201,"Study3","2,30952381","Boundary"
204,"Study3","1,880952381","Boundary"
205,"Study3","2,142857143","Boundary"
206,"Study3","2,69047619","Boundary"
207,"Study3","2,19047619","Boundary"
208,"Study3","2,571428571","Boundary"
209,"Study3","2,333333333","Boundary"
210,"Study3","2,571428571","Boundary"
211,"Study3","2,857142857","Boundary"
213,"Study3","2,738095238","Boundary"
214,"Study3","3,047619048","Boundary"
215,"Study3","2,761904762","Boundary"
216,"Study3","2,642857143","Boundary"
217,"Study3","3","Boundary"
219,"Study3","2,619047619","Boundary"
221,"Study3","2,357142857","Boundary"
222,"Study3","2,880952381","Boundary"
224,"Study3","2,571428571","Boundary"
225,"Study3","2,833333333","Boundary"
226,"Study3","2,571428571","Boundary"
227,"Study3","2,714285714","Boundary"
229,"Study3","2,80952381","Boundary"
230,"Study3","2,404761905","Boundary"
231,"Study3","2,761904762","Boundary"
233,"Study3","2,761904762","Boundary"
234,"Study3","2,047619048","Boundary"
235,"Study3","2,761904762","Boundary"
236,"Study3","2,619047619","Boundary"
237,"Study3","2,523809524","Boundary"
239,"Study3","2,547619048","Boundary"
201,"Study3","2,357142857","SameContext"
204,"Study3","1,821428571","SameContext"
205,"Study3","2,375","SameContext"
206,"Study3","2,517857143","SameContext"
207,"Study3","2,071428571","SameContext"
208,"Study3","2,5","SameContext"
209,"Study3","2,160714286","SameContext"
210,"Study3","2,553571429","SameContext"
211,"Study3","2,803571429","SameContext"
213,"Study3","2,678571429","SameContext"
214,"Study3","3,053571429","SameContext"
215,"Study3","2,5","SameContext"
216,"Study3","2,910714286","SameContext"
217,"Study3","2,321428571","SameContext"
219,"Study3","2,339285714","SameContext"
221,"Study3","2,178571429","SameContext"
222,"Study3","2,767857143","SameContext"
224,"Study3","2,303571429","SameContext"
225,"Study3","2,732142857","SameContext"
226,"Study3","2,535714286","SameContext"
227,"Study3","3,017857143","SameContext"
229,"Study3","2,535714286","SameContext"
230,"Study3","2,392857143","SameContext"
231,"Study3","2,696428571","SameContext"
233,"Study3","2,803571429","SameContext"
234,"Study3","2,089285714","SameContext"
235,"Study3","2,714285714","SameContext"
236,"Study3","2,357142857","SameContext"
237,"Study3","2,589285714","SameContext"
239,"Study3","2,232142857","SameContext"
