Block         TrialNumb     Type          JudgeRT       JudgeRESP     ObjectStim    ImageOnset    ISIonset
1             1             First         1355          l             Aopenbriefcas.jpg            4.685         3.176 
1             2             SameContext   0             NoResponse    ABALLYAR4.jpg  10.206        8.698 
1             3             SameContext   953           d             Agasblower2.jpg              15.727        14.219 
1             4             SameContext   0             NoResponse    ABANJO5.jpg    21.248        19.74 
1             5             SameContext   2279          d             Abaseballcap.jpg             26.769        25.261 
1             6             SameContext   0             NoResponse    AICEUBETR.jpg  32.291        30.782 
1             7             SameContext   0             NoResponse    ACRICKET2.jpg  37.812        36.303 
1             8             SameContext   2155          d             A_teabag.jpg   43.333        41.824 
1             9             Boundary      0             NoResponse    APINGPON3.jpg  48.854        47.345 
1             10            SameContext   0             NoResponse    AORGAN.jpg     54.375        52.866 
1             11            SameContext   0             NoResponse    AOPGLASS.jpg   59.896        58.387 
1             12            SameContext   0             NoResponse    Acomputerbag.jpg             65.417        63.908 
1             13            SameContext   0             NoResponse    ACROQUET2.jpg  70.938        69.429 
1             14            SameContext   981           f             A95CHEROK.jpg  76.459        74.95 
1             15            SameContext   1516          f             Ahawk3.jpg     81.98         80.471 
1             16            SameContext   1963          f             AHIBACHI.jpg   87.501        85.992 
1             17            Boundary      0             NoResponse    Adice10.jpg    93.022        91.513 
1             18            SameContext   0             NoResponse    ACANOL.jpg     98.543        97.035 
1             19            SameContext   2104          l             Acomputer9.jpg               104.064       102.556 
1             20            SameContext   1951          l             ACREAME11.jpg  109.585       108.077 
1             21            SameContext   1446          l             Achest20.jpg   115.106       113.598 
1             22            SameContext   0             NoResponse    AASCDESC.jpg   120.628       119.119 
1             23            SameContext   1331          k             AFBLADE.jpg    126.149       124.64 
1             24            SameContext   922           l             Afoodgrinder2.jpg            131.67        130.161 
1             25            Boundary      1481          d             AHAMPER.jpg    137.191       135.682 
1             26            SameContext   0             NoResponse    Abugle12.jpg   142.712       141.203 
1             27            SameContext   1863          d             Alaundrybask2.jpg            148.233       146.724 
1             28            SameContext   0             NoResponse    ABUGLE2.jpg    153.754       152.245 
1             29            SameContext   0             NoResponse    ABREASPU2.jpg  159.275       157.766 
1             30            SameContext   1484          d             Abrassbu2.jpg  164.796       163.287 
1             31            SameContext   1267          d             AHORSHOE2.jpg  170.317       168.808 
1             32            Last          1338          f             ABULLDOG5.jpg  175.838       174.329 
2             1             First         976           f             Acanoe19.jpg   4.624         3.116 
2             2             SameContext   863           f             AFOUNTAI5.jpg  10.145        8.637 
2             3             SameContext   1726          d             A100FRAN3.jpg  15.666        14.158 
2             4             SameContext   1397          f             Ababseat2.jpg  21.187        19.679 
2             5             SameContext   1291          f             ACEMPOST.jpg   26.709        25.2 
2             6             SameContext   985           d             Abellcookiec3.jpg            32.23         30.721 
2             7             SameContext   1720          d             Ahighlightin2.jpg            37.751        36.242 
2             8             SameContext   1167          d             AELECRAZ7.jpg  43.272        41.763 
2             9             Boundary      1174          j             AMICRO67.jpg   48.793        47.284 
2             10            SameContext   1070          k             Abeesonahoney.jpg            54.314        52.805 
2             11            SameContext   1725          j             ACHEESEB3.jpg  59.835        58.326 
2             12            SameContext   796           k             Agolfbag.jpg   65.356        63.847 
2             13            SameContext   963           j             Aantiquesofa4.jpg            70.877        69.368 
2             14            SameContext   1793          j             ACHESSPI4.jpg  76.398        74.889 
2             15            SameContext   1385          k             ACOMPAS20.jpg  81.919        80.41 
2             16            SameContext   784           k             AGARDHOSE.jpg  87.44         85.931 
2             17            Boundary      1143          d             APEPPSHA4.jpg  92.961        91.453 
2             18            SameContext   782           d             Ababybottle15.jpg            98.482        96.974 
2             19            SameContext   789           f             AALTIRE2.jpg   104.003       102.495 
2             20            SameContext   1051          f             ADOGLEAS2.jpg  109.524       108.016 
2             21            SameContext   1162          d             Ablackboardw3.jpg            115.046       113.537 
2             22            SameContext   912           f             Adaisies3.jpg  120.567       119.058 
2             23            SameContext   1264          d             AFRAME15.jpg   126.088       124.579 
2             24            SameContext   1255          f             ACOCONUT2.jpg  131.609       130.1 
2             25            Boundary      0             NoResponse    AFISHNET3.jpg  137.13        135.621 
2             26            SameContext   1013          k             Aleopard19.jpg               142.651       141.142 
2             27            SameContext   828           k             angelfish.jpg  148.172       146.663 
2             28            SameContext   1203          j             AGLASSBA4.jpg  153.693       152.184 
2             29            SameContext   1281          j             Abottleopener.jpg            159.214       157.705 
2             30            SameContext   1080          k             Abroom23.jpg   164.735       163.226 
2             31            SameContext   2088          j             Abananasundae.jpg            170.256       168.747 
2             32            Last          1270          j             ADOGFOOD.jpg   175.777       174.268 
3             1             First         1091          j             AIRONBOA8.jpg  4.628         3.119 
3             2             SameContext   0             NoResponse    AANTICAN2.jpg  10.149        8.64 
3             3             SameContext   1217          j             ACAT6.jpg      15.67         14.161 
3             4             SameContext   808           k             AEIFFELTO.jpg  21.191        19.682 
3             5             SameContext   1799          k             AHOSPBED.jpg   26.712        25.203 
3             6             SameContext   902           k             Acoral7.jpg    32.233        30.724 
3             7             SameContext   1901          k             Aairtank7.jpg  37.754        36.245 
3             8             SameContext   948           k             ACHERRY.jpg    43.275        41.766 
3             9             Boundary      1788          d             Akeyboard3.jpg               48.796        47.288 
3             10            SameContext   882           f             APUTTER.jpg    54.317        52.809 
3             11            SameContext   1705          f             Anailscissors.jpg            59.838        58.33 
3             12            SameContext   0             NoResponse    AAMMO4.jpg     65.36         63.851 
3             13            SameContext   894           f             Ahousboa2.jpg  70.881        69.372 
3             14            SameContext   1077          d             Agluegun.jpg   76.402        74.893 
3             15            SameContext   1548          f             AHEADSET.jpg   81.923        80.414 
3             16            SameContext   1259          d             ABATHTUB3.jpg  87.444        85.935 
3             17            Boundary      2050          j             ABUSINEST.jpg  92.965        91.456 
3             18            SameContext   1993          j             Adog122.jpg    98.486        96.977 
3             19            SameContext   1592          k             Apokerchips3.jpg             104.007       102.498 
3             20            SameContext   1839          j             ACHRIST14.jpg  109.528       108.019 
3             21            SameContext   1134          k             ACONBENCH.jpg  115.049       113.54 
3             22            SameContext   1829          k             APOGO4.jpg     120.57        119.061 
3             23            SameContext   900           j             AHONEYJA2.jpg  126.091       124.582 
3             24            SameContext   1995          k             APOTGOLD2.jpg  131.612       130.103 
3             25            Boundary      1466          d             ABEDROOM8.jpg  137.133       135.625 
3             26            SameContext   1241          f             A3leafcl4.jpg  142.654       141.146 
3             27            SameContext   680           f             Abackpack11.jpg              148.175       146.667 
3             28            SameContext   1335          d             Aglassbottle6.jpg            153.696       152.188 
3             29            SameContext   1646          f             airhorn.jpg    159.218       157.709 
3             30            SameContext   2012          f             Afan49.jpg     164.739       163.23 
3             31            SameContext   683           d             ACAFLATT3.jpg  170.26        168.751 
3             32            Last          1114          f             AFIGHTP16.jpg  175.781       174.272 
4             1             First         917           d             Aaircompress6.jpg            4.627         3.118 
4             2             SameContext   1436          k             ANWSPAPER.jpg  10.148        8.639 
4             3             SameContext   1275          j             Aantiquerota7.jpg            15.669        14.16 
4             4             SameContext   1610          j             APICKLES6.jpg  21.19         19.681 
4             5             SameContext   0             NoResponse    Acarrot.jpg    26.711        25.202 
4             6             SameContext   0             NoResponse    AARTIVE6.jpg   32.232        30.723 
4             7             SameContext   735           k             Abuilding5.jpg               37.753        36.244 
4             8             SameContext   830           j             APANCAKE3.jpg  43.274        41.765 
4             9             Boundary      1461          f             AJACKOL23.jpg  48.795        47.286 
4             10            SameContext   2028          d             ABARPEAR.jpg   54.316        52.808 
4             11            SameContext   1619          f             ABALLBEAR.jpg  59.837        58.329 
4             12            SameContext   922           f             Apairofrubbe3.jpg            65.358        63.85 
4             13            SameContext   857           f             AHYDRANTF.jpg  70.879        69.371 
4             14            SameContext   1463          d             ALADLE5.jpg    76.401        74.892 
4             15            SameContext   1366          d             Abeverageingl.jpg            81.922        80.413 
4             16            SameContext   1445          f             ABARROWRE.jpg  87.443        85.934 
4             17            Boundary      2108          j             Afaucet9.jpg   92.964        91.455 
4             18            SameContext   1467          k             AANTTRUCK.jpg  98.485        96.976 
4             19            SameContext   1226          k             ACONSTHA2.jpg  104.006       102.497 
4             20            SameContext   1993          j             AFUNNEL4.jpg   109.527       108.018 
