Block         TrialNumb     Type          JudgeRT       JudgeRESP     ObjectStim    ImageOnset    ISIonset
1             1             First         0             NoResponse    Abowlofporrid.jpg            4.723         3.215 
1             2             SameContext   0             NoResponse    AHIBACHI.jpg   10.245        8.736 
1             3             SameContext   0             NoResponse    AMICROWA2.jpg  15.766        14.257 
1             4             SameContext   0             NoResponse    AMANJUI2.jpg   21.287        19.778 
1             5             SameContext   0             NoResponse    ABIRDCAG2.jpg  26.808        25.299 
1             6             SameContext   0             NoResponse    ACHINLAMP.jpg  32.329        30.82 
1             7             SameContext   0             NoResponse    Aaircompress6.jpg            37.85         36.341 
1             8             SameContext   0             NoResponse    Ahousboa2.jpg  43.371        41.862 
1             9             Boundary      0             NoResponse    Acartonofegg3.jpg            48.892        47.383 
1             10            SameContext   0             NoResponse    Afirstaidkit3.jpg            54.413        52.904 
1             11            SameContext   0             NoResponse    APHONEFA2.jpg  59.934        58.425 
1             12            SameContext   0             NoResponse    Acanoe19.jpg   65.455        63.946 
1             13            SameContext   0             NoResponse    Aglassbottle6.jpg            70.976        69.467 
1             14            SameContext   0             NoResponse    Aclimbersicep.jpg            76.497        74.988 
1             15            SameContext   0             NoResponse    Achest20.jpg   82.018        80.509 
1             16            SameContext   0             NoResponse    Ablouse2.jpg   87.539        86.031 
1             17            Boundary      0             NoResponse    Abarn4.jpg     93.06         91.552 
1             18            SameContext   0             NoResponse    Aflowerpot9.jpg              98.581        97.073 
1             19            SameContext   0             NoResponse    A3leafcl4.jpg  104.102       102.594 
1             20            SameContext   0             NoResponse    A3bday5.jpg    109.624       108.115 
1             21            SameContext   0             NoResponse    Acementfinish.jpg            115.145       113.636 
1             22            SameContext   0             NoResponse    ABULLDOG5.jpg  120.666       119.157 
1             23            SameContext   0             NoResponse    ACAFLATT3.jpg  126.187       124.678 
1             24            SameContext   0             NoResponse    Abluebabybug4.jpg            131.708       130.199 
1             25            Boundary      0             NoResponse    ACDRAINER.jpg  137.229       135.72 
1             26            SameContext   0             NoResponse    Aammonitefo14.jpg            142.75        141.241 
1             27            SameContext   0             NoResponse    APANCAKE3.jpg  148.271       146.762 
1             28            SameContext   0             NoResponse    AALTIRE2.jpg   153.792       152.283 
1             29            SameContext   0             NoResponse    Adice10.jpg    159.313       157.804 
1             30            SameContext   0             NoResponse    ADART3.jpg     164.834       163.325 
1             31            SameContext   0             NoResponse    AARTIVE6.jpg   170.355       168.846 
1             32            Last          0             NoResponse    ABLACSUI3.jpg  175.876       174.367 
2             1             First         0             NoResponse    ACAPTAIN9.jpg  4.63          3.121 
2             2             SameContext   0             NoResponse    ACHALCED2.jpg  10.151        8.642 
2             3             SameContext   0             NoResponse    AHORSHOE2.jpg  15.672        14.163 
2             4             SameContext   0             NoResponse    Alifeves2.jpg  21.193        19.684 
2             5             SameContext   0             NoResponse    AOVENMIT5.jpg  26.714        25.206 
2             6             SameContext   0             NoResponse    Ababseat2.jpg  32.235        30.727 
2             7             SameContext   0             NoResponse    Abasket108.jpg               37.756        36.248 
2             8             SameContext   0             NoResponse    Aasianbuildin.jpg            43.277        41.769 
2             9             Boundary      0             NoResponse    Aclothespin2.jpg             48.799        47.29 
2             10            SameContext   0             NoResponse    ABILLTABL.jpg  54.32         52.811 
2             11            SameContext   0             NoResponse    Abucketwithcl.jpg            59.841        58.332 
2             12            SameContext   0             NoResponse    Acactus58.jpg  65.362        63.853 
2             13            SameContext   0             NoResponse    AFERRAF40.jpg  70.883        69.374 
2             14            SameContext   0             NoResponse    AFRAME15.jpg   76.404        74.895 
2             15            SameContext   0             NoResponse    APIESERVE.jpg  81.925        80.416 
2             16            SameContext   0             NoResponse    ACHAIR.jpg     87.446        85.937 
2             17            Boundary      0             NoResponse    ALADLE5.jpg    92.967        91.458 
2             18            SameContext   0             NoResponse    ABEDROOM8.jpg  98.488        96.979 
2             19            SameContext   0             NoResponse    ACAROUSE2.jpg  104.009       102.5 
2             20            SameContext   0             NoResponse    ADRYWOOD.jpg   109.53        108.021 
2             21            SameContext   0             NoResponse    APARSLEY.jpg   115.051       113.542 
2             22            SameContext   0             NoResponse    AAMBULAN7.jpg  120.572       119.063 
2             23            SameContext   0             NoResponse    Aantiquejuke2.jpg            126.093       124.584 
2             24            SameContext   0             NoResponse    anvil.jpg      131.614       130.106 
2             25            Boundary      0             NoResponse    AGLASSBAL.jpg  137.135       135.627 
2             26            SameContext   0             NoResponse    Alipstick3.jpg               142.656       141.148 
