Block         TrialNumb     Type          JudgeRT       JudgeRESP     ObjectStim    ImageOnset    ISIonset
1             1             First         0             NoResponse    ant.jpg        4.722         3.213 
1             2             SameContext   0             NoResponse    Abicycleglove.jpg            10.243        8.734 
1             3             SameContext   0             NoResponse    AANTICAN2.jpg  15.764        14.255 
1             4             SameContext   0             NoResponse    ANWSPAPER.jpg  21.285        19.776 
1             5             SameContext   0             NoResponse    Aopenbriefcas.jpg            26.806        25.297 
1             6             SameContext   0             NoResponse    ABLACKB14.jpg  32.327        30.818 
1             7             SameContext   0             NoResponse    Agraduationh2.jpg            37.848        36.339 
1             8             SameContext   0             NoResponse    ACHALCED2.jpg  43.369        41.86 
1             9             Boundary      0             NoResponse    AFUNNEL4.jpg   48.89         47.381 
1             10            SameContext   0             NoResponse    A_coin.jpg     54.411        52.902 
1             11            SameContext   0             NoResponse    Alifeves2.jpg  59.932        58.423 
1             12            SameContext   0             NoResponse    AICEUBETR.jpg  65.453        63.944 
1             13            SameContext   0             NoResponse    Ablouse2.jpg   70.974        69.465 
1             14            SameContext   0             NoResponse    ALITTERB2.jpg  76.495        74.986 
1             15            SameContext   0             NoResponse    Abreadrolls.jpg              82.016        80.508 
1             16            SameContext   0             NoResponse    AASCDESC.jpg   87.537        86.029 
1             17            Boundary      0             NoResponse    Agardeningshe.jpg            93.058        91.55 
1             18            SameContext   0             NoResponse    Abarn4.jpg     98.58         97.071 
1             19            SameContext   0             NoResponse    Abaleofhay.jpg               104.101       102.592 
1             20            SameContext   0             NoResponse    ACANTELOP.jpg  109.622       108.113 
1             21            SameContext   0             NoResponse    AGLASSBA4.jpg  115.143       113.634 
1             22            SameContext   0             NoResponse    Aclimbersicep.jpg            120.664       119.155 
1             23            SameContext   0             NoResponse    Abrassbu2.jpg  126.185       124.676 
1             24            SameContext   0             NoResponse    AFOODBLEN.jpg  131.706       130.197 
1             25            Boundary      0             NoResponse    Abutterflynet.jpg            137.227       135.718 
1             26            SameContext   0             NoResponse    APERSRUG.jpg   142.748       141.239 
1             27            SameContext   0             NoResponse    AARCH.jpg      148.269       146.76 
1             28            SameContext   0             NoResponse    AORIGIRL3.jpg  153.79        152.281 
1             29            SameContext   0             NoResponse    Apaperclip6.jpg              159.311       157.802 
1             30            SameContext   0             NoResponse    A95CHEROK.jpg  164.832       163.323 
1             31            SameContext   0             NoResponse    AALTIRE2.jpg   170.353       168.844 
1             32            Last          0             NoResponse    ACUSHIO60.jpg  175.874       174.365 
2             1             First         0             NoResponse    Agolfbag.jpg   4.634         3.125 
2             2             SameContext   0             NoResponse    AGARBCAN.jpg   10.155        8.646 
2             3             SameContext   0             NoResponse    ADESKLA12.jpg  15.676        14.167 
2             4             SameContext   0             NoResponse    Abugle12.jpg   21.197        19.688 
2             5             SameContext   0             NoResponse    ADUSTER5.jpg   26.718        25.209 
2             6             SameContext   0             NoResponse    anvil.jpg      32.239        30.73 
2             7             SameContext   0             NoResponse    angelfish.jpg  37.76         36.251 
2             8             SameContext   0             NoResponse    Abreakpl2.jpg  43.281        41.772 
2             9             Boundary      0             NoResponse    ABLACKNEC.jpg  48.802        47.293 
2             10            SameContext   0             NoResponse    Aflower102.jpg               54.323        52.814 
2             11            SameContext   0             NoResponse    Abrooch100.jpg               59.844        58.335 
2             12            SameContext   0             NoResponse    AFBLADE.jpg    65.365        63.856 
2             13            SameContext   0             NoResponse    Adog122.jpg    70.886        69.378 
2             14            SameContext   0             NoResponse    Aantiquerota7.jpg            76.407        74.899 
2             15            SameContext   0             NoResponse    Acastle22.jpg  81.928        80.42 
