Block         TrialNumb     Type          JudgeRT       JudgeRESP     ObjectStim    ImageOnset    ISIonset
1             1             First         0             NoResponse    ASCSIPORT.jpg  4.716         3.208 
1             2             SameContext   0             NoResponse    ASCALE30.jpg   10.238        8.729 
1             3             SameContext   0             NoResponse    AFISHNET3.jpg  15.759        14.25 
1             4             SameContext   0             NoResponse    AFOUNTAI5.jpg  21.28         19.771 
1             5             SameContext   0             NoResponse    basketball.jpg               26.801        25.292 
1             6             SameContext   0             NoResponse    beachtowels.jpg              32.322        30.813 
1             7             SameContext   0             NoResponse    Awindow19.jpg  37.843        36.334 
1             8             SameContext   0             NoResponse    ASMOKDE16.jpg  43.364        41.855 
1             9             Boundary      0             NoResponse    AWINDSU21.jpg  48.885        47.376 
1             10            SameContext   0             NoResponse    ABLACKNEC.jpg  54.406        52.897 
1             11            SameContext   0             NoResponse    ABILLTABL.jpg  59.927        58.418 
1             12            SameContext   0             NoResponse    ATABLES5.jpg   65.448        63.939 
1             13            SameContext   0             NoResponse    bagelslicer.jpg              70.969        69.46 
1             14            SameContext   0             NoResponse    AWISHWELL.jpg  76.49         74.981 
1             15            SameContext   0             NoResponse    Abloodorange.jpg             82.011        80.502 
1             16            SameContext   0             NoResponse    ASERVICEB.jpg  87.532        86.024 
1             17            Boundary      0             NoResponse    ABROCHETT.jpg  93.053        91.545 
1             18            SameContext   753           c             AALTIRE2.jpg   98.574        97.066 
1             19            SameContext   0             NoResponse    AVIOLINCO.jpg  104.095       102.587 
1             20            SameContext   0             NoResponse    Afloppydisk6.jpg             109.617       108.108 
1             21            SameContext   0             NoResponse    AOPGLASS.jpg   115.138       113.629 
1             22            SameContext   0             NoResponse    Alaundrybask2.jpg            120.659       119.15 
1             23            SameContext   0             NoResponse    babyswig.jpg   126.18        124.671 
1             24            SameContext   0             NoResponse    ACAT6.jpg      131.701       130.192 
1             25            Boundary      0             NoResponse    ATIE16.jpg     137.222       135.713 
1             26            SameContext   0             NoResponse    APHONEFA2.jpg  142.743       141.234 
1             27            SameContext   0             NoResponse    ABUDDHA18.jpg  148.264       146.755 
1             28            SameContext   0             NoResponse    Aclothespin2.jpg             153.785       152.276 
1             29            SameContext   0             NoResponse    Atoyblocks.jpg               159.306       157.797 
1             30            SameContext   0             NoResponse    ATOWER3.jpg    164.827       163.318 
1             31            SameContext   0             NoResponse    AHEADSET.jpg   170.348       168.839 
1             32            Last          0             NoResponse    Astaplegun3.jpg              175.869       174.36 
2             1             First         1556          f             Aservicedesk.jpg             4.636         3.127 
2             2             SameContext   635           c             broccoli.jpg   10.157        8.648 
2             3             SameContext   570           f             AKNIFECOL.jpg  15.678        14.169 
2             4             SameContext   665           c             Awindmill3.jpg               21.199        19.69 
2             5             SameContext   1072          c             AHAZELNU3.jpg  26.72         25.211 
2             6             SameContext   639           c             ASTRAINE8.jpg  32.241        30.733 
2             7             SameContext   430           f             A3leafcl4.jpg  37.762        36.254 
2             8             SameContext   549           f             Aglassbottle6.jpg            43.283        41.775 
2             9             Boundary      0             NoResponse    ADESKLA12.jpg  48.805        47.296 
2             10            SameContext   386           m             AHEDGEHOG.jpg  54.326        52.817 
2             11            SameContext   593           j             Aantiquerota7.jpg            59.847        58.338 
2             12            SameContext   744           m             AORIGIRL3.jpg  65.368        63.859 
2             13            SameContext   551           j             AWATEHOSE.jpg  70.889        69.38 
2             14            SameContext   1206          k             ACONSTRU9.jpg  76.41         74.901 
2             15            SameContext   1093          j             ACRICKET2.jpg  81.931        80.422 
2             16            SameContext   652           j             ATOQUE4.jpg    87.452        85.943 
2             17            Boundary      0             NoResponse    APIESERVE.jpg  92.973        91.464 
2             18            SameContext   0             NoResponse    Ahighlightin2.jpg            98.494        96.985 
2             19            SameContext   0             NoResponse    Aallterrain10.jpg            104.015       102.506 
2             20            SameContext   392           c             ANWSPAPER.jpg  109.536       108.027 
2             21            SameContext   575           m             AHAMPER.jpg    115.057       113.548 
2             22            SameContext   526           c             AMIXER1.jpg    120.578       119.069 
2             23            SameContext   365           c             Acorn10.jpg    126.099       124.591 
