Block         TrialNumb     Type          JudgeRT       JudgeRESP     ObjectStim    ImageOnset    ISIonset
1             1             First         0             NoResponse    ABARPEAR.jpg   4.702         3.193 
1             2             SameContext   1297          j             ANUTCRA10.jpg  10.223        8.714 
1             3             SameContext   1136          k             ASNBRD2.jpg    15.744        14.236 
1             4             SameContext   943           k             ARCMPPOL2.jpg  21.265        19.757 
1             5             SameContext   2118          k             ATHISEND4.jpg  26.786        25.278 
1             6             SameContext   877           k             Abackpack11.jpg              32.307        30.799 
1             7             SameContext   827           k             Atrailer5.jpg  37.829        36.32 
1             8             SameContext   1090          k             Aancientbuild.jpg            43.35         41.841 
1             9             Boundary      1433          f             Astrawberryde.jpg            48.871        47.362 
1             10            SameContext   2160          d             Agiftbag20.jpg               54.392        52.883 
1             11            SameContext   1111          f             Asaturn.jpg    59.913        58.404 
1             12            SameContext   0             NoResponse    AEAREXAM2.jpg  65.434        63.925 
1             13            SameContext   1061          f             caiman.jpg     70.955        69.446 
1             14            SameContext   1364          d             broccoli.jpg   76.476        74.967 
1             15            SameContext   1707          f             Alifeves2.jpg  81.997        80.488 
1             16            SameContext   1714          f             Asunflower3.jpg              87.518        86.009 
1             17            Boundary      0             NoResponse    ACHALCED2.jpg  93.039        91.53 
1             18            SameContext   848           k             Aflowerpot9.jpg              98.56         97.051 
1             19            SameContext   1023          k             ACANTELOP.jpg  104.081       102.572 
1             20            SameContext   726           k             A95CHEROK.jpg  109.602       108.093 
1             21            SameContext   2277          j             Abroom23.jpg   115.123       113.615 
1             22            SameContext   1748          k             A_coin.jpg     120.644       119.136 
1             23            SameContext   1139          k             baseball.jpg   126.165       124.657 
1             24            SameContext   2162          j             ARAILLIGH.jpg  131.686       130.178 
1             25            Boundary      1864          d             Akeyboard3.jpg               137.208       135.699 
1             26            SameContext   1815          f             Abluebabybug4.jpg            142.729       141.22 
1             27            SameContext   1902          f             AWINDSU21.jpg  148.25        146.741 
1             28            SameContext   1589          f             Acastle22.jpg  153.771       152.262 
1             29            SameContext   2244          f             Abicycleglove.jpg            159.292       157.783 
1             30            SameContext   1395          d             Aspeakers4.jpg               164.813       163.304 
1             31            SameContext   1418          f             Ahousboa2.jpg  170.334       168.825 
1             32            Last          1617          f             AFBLADE.jpg    175.855       174.346 
2             1             First         2051          j             Awoodenhamme8.jpg            4.621         3.112 
2             2             SameContext   986           j             ASUNBOX5.jpg   10.142        8.633 
2             3             SameContext   1505          k             AANTICAN2.jpg  15.663        14.154 
2             4             SameContext   1232          j             Arubberducky2.jpg            21.184        19.675 
2             5             SameContext   1655          k             Abutterflynet.jpg            26.705        25.197 
2             6             SameContext   1638          j             Achest20.jpg   32.226        30.718 
2             7             SameContext   1517          j             ADECKCARD.jpg  37.747        36.239 
2             8             SameContext   1148          j             Agluegun.jpg   43.268        41.76 
2             9             Boundary      1650          d             Anailscissors.jpg            48.79         47.281 
