Block         TrialNumb     Type          JudgeRT       JudgeRESP     ObjectStim    ImageOnset    ISIonset
1             1             First         0             NoResponse    AAMMO4.jpg     4.737         3.228 
1             2             SameContext   1558          d             AORIGIRL3.jpg  10.258        8.749 
1             3             SameContext   1205          d             Ameasuringsp5.jpg            15.779        14.27 
1             4             SameContext   1020          d             A1OCLOC2.jpg   21.3          19.791 
1             5             SameContext   747           d             Abeverageingl.jpg            26.821        25.312 
1             6             SameContext   2178          f             Apairofrubbe3.jpg            32.342        30.833 
1             7             SameContext   1041          f             ACEMPOST.jpg   37.863        36.354 
1             8             SameContext   1040          d             ACDRAINER.jpg  43.384        41.875 
1             9             Boundary      0             NoResponse    Aancientstat3.jpg            48.905        47.396 
1             10            SameContext   774           j             ACOMB11.jpg    54.426        52.917 
1             11            SameContext   1133          j             Acabinetwithm.jpg            59.947        58.438 
1             12            SameContext   676           j             Abucketwithcl.jpg            65.468        63.959 
1             13            SameContext   835           j             A_teabag.jpg   70.989        69.48 
1             14            SameContext   874           j             AHONEYJA2.jpg  76.51         75.002 
1             15            SameContext   1817          k             APINGPON3.jpg  82.031        80.523 
1             16            SameContext   1016          k             Abuilding5.jpg               87.552        86.044 
1             17            Boundary      1071          f             Acartofgroce3.jpg            93.073        91.565 
1             18            SameContext   1773          d             AMICRO67.jpg   98.595        97.086 
1             19            SameContext   1572          f             AANTSTOV6.jpg  104.116       102.607 
1             20            SameContext   1963          d             APERSRUG.jpg   109.637       108.128 
1             21            SameContext   842           f             ACONSTRU9.jpg  115.158       113.649 
1             22            SameContext   673           f             Abridge9.jpg   120.679       119.17 
1             23            SameContext   936           d             Aclock261.jpg  126.2         124.691 
1             24            SameContext   1255          d             Aglassbottle6.jpg            131.721       130.212 
1             25            Boundary      1142          j             Abananasundae.jpg            137.242       135.733 
1             26            SameContext   1165          j             ADAQUIRI.jpg   142.763       141.254 
1             27            SameContext   1668          j             AELECBEA6.jpg  148.284       146.775 
1             28            SameContext   1187          k             AASPHALT.jpg   153.805       152.296 
1             29            SameContext   810           j             APARSLEY.jpg   159.326       157.817 
1             30            SameContext   609           k             ABARROWRE.jpg  164.847       163.338 
1             31            SameContext   2040          j             AMICROWA2.jpg  170.368       168.86 
1             32            Last          1783          k             ABELL7.jpg     175.889       174.381 
2             1             First         1846          f             Acementfinish.jpg            4.625         3.117 
2             2             SameContext   1268          d             AOPGLASS.jpg   10.147        8.638 
2             3             SameContext   1411          f             ADOGLEAS2.jpg  15.668        14.159 
2             4             SameContext   1146          d             AAEROBENC.jpg  21.189        19.68 
2             5             SameContext   1721          f             Aboots56.jpg   26.71         25.201 
2             6             SameContext   944           d             ABIRDCAG2.jpg  32.231        30.722 
2             7             SameContext   2223          f             Abasket108.jpg               37.752        36.243 
2             8             SameContext   1030          d             Agarbagebag.jpg              43.273        41.764 
2             9             Boundary      517           k             ACRICKET2.jpg  48.794        47.285 
2             10            SameContext   212           j             Abarn4.jpg     54.315        52.806 
2             11            SameContext   1019          k             ARAILLIGH.jpg  59.836        58.327 
2             12            SameContext   994           j             A100FRAN3.jpg  65.357        63.848 
2             13            SameContext   930           k             AFISHNET3.jpg  70.878        69.369 
2             14            SameContext   1480          k             AARCHERY.jpg   76.399        74.89 
2             15            SameContext   1383          j             ACAFLATT3.jpg  81.92         80.412 
2             16            SameContext   1182          j             ABREASPU2.jpg  87.441        85.933 
2             17            Boundary      1949          d             Aantiquesofa4.jpg            92.962        91.454 
2             18            SameContext   900           d             Abloodorange.jpg             98.483        96.975 
2             19            SameContext   1002          f             ANWSPAPER.jpg  104.005       102.496 
2             20            SameContext   1497          d             Agardeningpai.jpg            109.526       108.017 
2             21            SameContext   1016          f             ACOCONUT2.jpg  115.047       113.538 
2             22            SameContext   687           d             Acentipede4.jpg              120.568       119.059 
2             23            SameContext   838           d             acquarium.jpg  126.089       124.58 
2             24            SameContext   749           d             ABROKUMBR.jpg  131.61        130.101 
2             25            Boundary      620           k             Abaleofhay.jpg               137.131       135.622 
2             26            SameContext   1067          k             AARTICHO1.jpg  142.652       141.143 
2             27            SameContext   1274          j             ADOGFOOD.jpg   148.173       146.664 
2             28            SameContext   1193          j             Abugle12.jpg   153.694       152.185 
2             29            SameContext   1624          j             AANTHAT2.jpg   159.215       157.706 
2             30            SameContext   664           k             ABROCHETT.jpg  164.736       163.227 
2             31            SameContext   1046          k             ADRILL3.jpg    170.257       168.748 
2             32            Last          1133          j             ACOFFPOT3.jpg  175.778       174.27 
3             1             First         0             NoResponse    Ahourglass4.jpg              4.623         3.114 
3             2             SameContext   568           f             Aleopard19.jpg               10.144        8.635 
3             3             SameContext   1151          f             anvil.jpg      15.665        14.156 
3             4             SameContext   654           d             ADESKLA12.jpg  21.186        19.677 
3             5             SameContext   853           d             AAFRICI13.jpg  26.707        25.198 
3             6             SameContext   1444          d             APEPPSHA4.jpg  32.228        30.719 
3             7             SameContext   1195          d             Aopenbriefcas.jpg            37.749        36.24 
3             8             SameContext   962           d             Aavocado7.jpg  43.27         41.762 
3             9             Boundary      1713          j             Afloweredsan3.jpg            48.791        47.283 
3             10            SameContext   488           k             Aallterrain10.jpg            54.312        52.804 
3             11            SameContext   1391          j             AMASCARA.jpg   59.833        58.325 
3             12            SameContext   1318          j             ADECKCARD.jpg  65.354        63.846 
3             13            SameContext   1628          j             ABPIECE2.jpg   70.876        69.367 
3             14            SameContext   1483          j             aardvark.jpg   76.397        74.888 
3             15            SameContext   818           j             Aairtank7.jpg  81.918        80.409 
3             16            SameContext   1185          k             APIESERVE.jpg  87.439        85.93 
3             17            Boundary      1376          d             AANTTRUCK.jpg  92.96         91.451 
3             18            SameContext   663           d             Aflask19.jpg   98.481        96.972 
3             19            SameContext   958           d             ABUMBBE2.jpg   104.002       102.493 
