Block         TrialNumb     Type          JudgeRT       JudgeRESP     ObjectStim    ImageOnset    ISIonset
1             1             First         0             NoResponse    AANTCASH3.jpg  4.726         3.217 
1             2             SameContext   0             NoResponse    catsl60.jpg    10.247        8.738 
1             3             SameContext   0             NoResponse    Abeermug11.jpg               15.768        14.259 
1             4             SameContext   0             NoResponse    ABUGLE2.jpg    21.289        19.78 
1             5             SameContext   0             NoResponse    ACHERRY.jpg    26.81         25.301 
1             6             SameContext   0             NoResponse    ACANDLE30.jpg  32.331        30.822 
1             7             SameContext   0             NoResponse    APARKMET6.jpg  37.852        36.343 
1             8             SameContext   0             NoResponse    Abackpack11.jpg              43.373        41.864 
1             9             Boundary      0             NoResponse    AOVENMIT5.jpg  48.894        47.385 
1             10            SameContext   0             NoResponse    APINGPON3.jpg  54.415        52.906 
1             11            SameContext   0             NoResponse    ATRACTWH6.jpg  59.936        58.428 
1             12            SameContext   0             NoResponse    AMICROWA2.jpg  65.457        63.949 
1             13            SameContext   0             NoResponse    Arecyclingbox.jpg            70.978        69.47 
1             14            SameContext   0             NoResponse    AOPGLASS.jpg   76.499        74.991 
1             15            SameContext   0             NoResponse    Adiscoball2.jpg              82.021        80.512 
1             16            SameContext   0             NoResponse    AFIGHTP16.jpg  87.542        86.033 
1             17            Boundary      0             NoResponse    anvil.jpg      93.063        91.554 
1             18            SameContext   0             NoResponse    ALOAFBR4.jpg   98.584        97.075 
1             19            SameContext   0             NoResponse    Atriangle2.jpg               104.105       102.596 
1             20            SameContext   0             NoResponse    catslglol.jpg  109.626       108.117 
1             21            SameContext   0             NoResponse    ASHAVING9.jpg  115.147       113.638 
1             22            SameContext   0             NoResponse    Avacuum20.jpg  120.668       119.159 
1             23            SameContext   0             NoResponse    ACHALCED2.jpg  126.189       124.68 
1             24            SameContext   0             NoResponse    ABEDROOM8.jpg  131.71        130.201 
1             25            Boundary      0             NoResponse    ACAT6.jpg      137.231       135.722 
1             26            SameContext   0             NoResponse    ADUSTER5.jpg   142.752       141.243 
1             27            SameContext   0             NoResponse    AGLASSBA4.jpg  148.273       146.765 
1             28            SameContext   0             NoResponse    AMASCARA.jpg   153.794       152.286 
1             29            SameContext   0             NoResponse    ACAPTAIN9.jpg  159.315       157.807 
1             30            SameContext   0             NoResponse    Atoyball.jpg   164.837       163.328 
1             31            SameContext   0             NoResponse    ADUNEBUGG.jpg  170.358       168.849 
1             32            Last          0             NoResponse    ASERVICEB.jpg  175.879       174.37 
2             1             First         0             NoResponse    Acomputer9.jpg               4.628         3.119 
2             2             SameContext   0             NoResponse    beachtowels.jpg              10.149        8.641 
2             3             SameContext   0             NoResponse    Adaisies3.jpg  15.67         14.162 
2             4             SameContext   0             NoResponse    AFBLADE.jpg    21.191        19.683 
2             5             SameContext   0             NoResponse    bowlingpin.jpg               26.712        25.204 
2             6             SameContext   0             NoResponse    Agardeningpai.jpg            32.234        30.725 
2             7             SameContext   0             NoResponse    Abellcookiec3.jpg            37.755        36.246 
2             8             SameContext   0             NoResponse    A_coin.jpg     43.276        41.767 
2             9             Boundary      99            j             ACHINLAMP.jpg  48.797        47.288 
2             10            SameContext   0             NoResponse    ACAMPFIRE.jpg  54.318        52.809 
2             11            SameContext   0             NoResponse    Aslate.jpg     59.839        58.33 
2             12            SameContext   0             NoResponse    Acabinetwithm.jpg            65.36         63.851 
2             13            SameContext   0             NoResponse    chinchilla.jpg               70.881        69.372 
