Block         ItemNumber    Condition     ConditionSpecific           SourceRESP    SourceCorrRESP              SourceRT      Sound         SoundSide     Object        SourceAcc
1             17            Boundary      BoundarySecond              j             j             9275          500Hz.wav     RIGHT         Alock34.jpg   1
1             18            SameContext   WithinThird   j             j             5843          500Hz.wav     RIGHT         ABLACKNEC.jpg 1
1             19            SameContext   WithinThird   f             j             5067          500Hz.wav     RIGHT         Aclock261.jpg 0
1             10            SameContext   WithinSecond  j             f             2821          1000Hz.wav    LEFT          Arake3.jpg    0
1             11            SameContext   WithinSecond  j             f             10079         1000Hz.wav    LEFT          Aleopard19.jpg              0
1             22            SameContext   WithinThird   j             j             2139          500Hz.wav     RIGHT         ACONSTRU9.jpg 1
1             12            SameContext   WithinSecond  f             f             3276          1000Hz.wav    LEFT          Abreakpl2.jpg 1
1             13            SameContext   WithinSecond  f             f             2413          1000Hz.wav    LEFT          Alipstick3.jpg              1
1             15            SameContext   WithinSecond  j             f             5132          1000Hz.wav    LEFT          A3leafcl4.jpg 0
1             5             SameContext   WithinFirst   j             j             3309          900Hz.wav     RIGHT         Abutterflynet.jpg           1
1             9             Boundary      BoundaryFirst j             f             3629          1000Hz.wav    LEFT          AHAZELNU3.jpg 0
1             16            SameContext   WithinSecond  f             f             1730          1000Hz.wav    LEFT          AHOSPBED.jpg  1
1             26            SameContext   WithinFourth  f             f             2786          700Hz.wav     LEFT          AAMBULAN7.jpg 1
1             30            SameContext   WithinFourth  j             f             2204          700Hz.wav     LEFT          AFERRY5.jpg   0
1             27            SameContext   WithinFourth  j             f             2195          700Hz.wav     LEFT          ABLOODCEA.jpg 0
1             7             SameContext   WithinFirst   j             j             6419          900Hz.wav     RIGHT         ACOCONUT2.jpg 1
1             31            SameContext   WithinFourth  f             f             3247          700Hz.wav     LEFT          ABLLIGHTB.jpg 1
1             1             First         FirstItem     j             j             4425          900Hz.wav     RIGHT         AHORSHOE2.jpg 1
1             32            Last          LastItem      f             f             2202          700Hz.wav     LEFT          ANWSPAPER.jpg 1
1             29            SameContext   WithinFourth  f             f             1953          700Hz.wav     LEFT          Acamera101.jpg              1
1             20            SameContext   WithinThird   j             j             3745          500Hz.wav     RIGHT         anvil.jpg     1
1             25            Boundary      BoundaryThird f             f             2282          700Hz.wav     LEFT          Aclothespin2.jpg            1
1             8             SameContext   WithinFirst   f             j             2662          900Hz.wav     RIGHT         AFERRAF40.jpg 0
1             2             SameContext   WithinFirst   j             j             3381          900Hz.wav     RIGHT         AORGAN.jpg    1
1             28            SameContext   WithinFourth  j             f             1938          700Hz.wav     LEFT          ACONSTHA2.jpg 0
1             4             SameContext   WithinFirst   f             j             8307          900Hz.wav     RIGHT         ACONBENCH.jpg 0
1             21            SameContext   WithinThird   j             j             2940          500Hz.wav     RIGHT         AARTMELON.jpg 1
1             6             SameContext   WithinFirst   f             j             3834          900Hz.wav     RIGHT         ACOFFPOT3.jpg 0
1             23            SameContext   WithinThird   j             j             2024          500Hz.wav     RIGHT         ABLACSUI3.jpg 1
1             3             SameContext   WithinFirst   j             j             3053          900Hz.wav     RIGHT         AFILM.jpg     1
1             24            SameContext   WithinThird   f             j             4335          500Hz.wav     RIGHT         AASCDESC.jpg  0
1             14            SameContext   WithinSecond  f             f             2859          1000Hz.wav    LEFT          ACUTLERYB.jpg 1
2             18            SameContext   WithinThird   f             f             5417          700Hz.wav     LEFT          ARAILLIGH.jpg 1
2             2             SameContext   WithinFirst   j             f             3576          600Hz.wav     LEFT          Alifebuo3.jpg 0
2             17            Boundary      BoundarySecond              f             f             1559          700Hz.wav     LEFT          ACHALCED2.jpg 1
2             10            SameContext   WithinSecond  j             j             1716          900Hz.wav     RIGHT         AKNIFECOL.jpg 1
2             3             SameContext   WithinFirst   f             f             1500          600Hz.wav     LEFT          ABARROWRE.jpg 1
2             22            SameContext   WithinThird   f             f             1796          700Hz.wav     LEFT          Abeermug11.jpg              1
2             21            SameContext   WithinThird   j             f             3425          700Hz.wav     LEFT          AANBABYCA.jpg 0
2             29            SameContext   WithinFourth  j             j             2533          1000Hz.wav    RIGHT         Abicycleglove.jpg           1
2             23            SameContext   WithinThird   j             f             1977          700Hz.wav     LEFT          Aasianbuildin.jpg           0
2             30            SameContext   WithinFourth  f             j             2520          1000Hz.wav    RIGHT         AICEUBETR.jpg 0
2             25            Boundary      BoundaryThird j             j             2380          1000Hz.wav    RIGHT         ANUTCRA10.jpg 1
2             16            SameContext   WithinSecond  j             j             3796          900Hz.wav     RIGHT         AMICRO67.jpg  1
2             4             SameContext   WithinFirst   f             f             2204          600Hz.wav     LEFT          ABUMBBE2.jpg  1
2             5             SameContext   WithinFirst   f             f             1315          600Hz.wav     LEFT          AELECRAZ7.jpg 1
2             11            SameContext   WithinSecond  j             j             993           900Hz.wav     RIGHT         Aancientstat3.jpg           1
2             12            SameContext   WithinSecond  f             j             1890          900Hz.wav     RIGHT         Aelephant9.jpg              0
2             27            SameContext   WithinFourth  j             j             1708          1000Hz.wav    RIGHT         Ahousboa2.jpg 1
2             15            SameContext   WithinSecond  j             j             2692          900Hz.wav     RIGHT         Abrooch100.jpg              1
2             14            SameContext   WithinSecond  f             j             1907          900Hz.wav     RIGHT         Aornamentalt5.jpg           0
2             19            SameContext   WithinThird   j             f             2412          700Hz.wav     LEFT          Afoodgrinder2.jpg           0
2             24            SameContext   WithinThird   j             f             1860          700Hz.wav     LEFT          ABELL7.jpg    0
2             28            SameContext   WithinFourth  j             j             1959          1000Hz.wav    RIGHT         ADINGHY.jpg   1
2             1             First         FirstItem     f             f             2071          600Hz.wav     LEFT          ADUNEBUGG.jpg 1
2             6             SameContext   WithinFirst   f             f             1762          600Hz.wav     LEFT          Ababseat2.jpg 1
2             31            SameContext   WithinFourth  j             j             1537          1000Hz.wav    RIGHT         Abaseballcap.jpg            1
2             13            SameContext   WithinSecond  j             j             2095          900Hz.wav     RIGHT         AGOLDCUP6.jpg 1
2             20            SameContext   WithinThird   f             f             1818          700Hz.wav     LEFT          Apitchfork4.jpg             1
2             26            SameContext   WithinFourth  j             j             2342          1000Hz.wav    RIGHT         AFOODBLEN.jpg 1
2             7             SameContext   WithinFirst   f             f             2033          600Hz.wav     LEFT          AGARLICCO.jpg 1
2             8             SameContext   WithinFirst   f             f             1589          600Hz.wav     LEFT          Abeesonahoney.jpg           1
2             32            Last          LastItem      j             j             2042          1000Hz.wav    RIGHT         AMICROWA2.jpg 1
2             9             Boundary      BoundaryFirst j             j             1383          900Hz.wav     RIGHT         ABEDROOM8.jpg 1
