Block         ItemNumber    Condition     ConditionSpecific           SourceRESP    SourceCorrRESP              SourceRT      Sound         SoundSide     Object        SourceAcc
1             20            SameContext   WithinThird   f             f             4912          800Hz.wav     LEFT          APERSRUG.jpg  1
1             23            SameContext   WithinThird   j             f             1040          800Hz.wav     LEFT          Aclock261.jpg 0
1             27            SameContext   WithinFourth  f             j             1024          1000Hz.wav    RIGHT         AELECBEA6.jpg 0
1             12            SameContext   WithinSecond  f             j             880           600Hz.wav     RIGHT         Abucketwithcl.jpg           0
1             24            SameContext   WithinThird   j             f             701           800Hz.wav     LEFT          Aglassbottle6.jpg           0
1             29            SameContext   WithinFourth  f             j             1040          1000Hz.wav    RIGHT         APARSLEY.jpg  0
1             30            SameContext   WithinFourth  j             j             768           1000Hz.wav    RIGHT         ABARROWRE.jpg 1
1             21            SameContext   WithinThird   j             f             1450          800Hz.wav     LEFT          ACONSTRU9.jpg 0
1             26            SameContext   WithinFourth  f             j             1227          1000Hz.wav    RIGHT         ADAQUIRI.jpg  0
1             6             SameContext   WithinFirst   f             f             1085          700Hz.wav     LEFT          Apairofrubbe3.jpg           1
1             31            SameContext   WithinFourth  j             j             803           1000Hz.wav    RIGHT         AMICROWA2.jpg 1
1             10            SameContext   WithinSecond  j             j             739           600Hz.wav     RIGHT         ACOMB11.jpg   1
1             9             Boundary      BoundaryFirst f             j             1077          600Hz.wav     RIGHT         Aancientstat3.jpg           0
1             17            Boundary      BoundarySecond              f             f             971           800Hz.wav     LEFT          Acartofgroce3.jpg           1
1             14            SameContext   WithinSecond  j             j             765           600Hz.wav     RIGHT         AHONEYJA2.jpg 1
1             3             SameContext   WithinFirst   f             f             1182          700Hz.wav     LEFT          Ameasuringsp5.jpg           1
1             25            Boundary      BoundaryThird j             j             946           1000Hz.wav    RIGHT         Abananasundae.jpg           1
1             11            SameContext   WithinSecond  f             j             996           600Hz.wav     RIGHT         Acabinetwithm.jpg           0
1             22            SameContext   WithinThird   f             f             1582          800Hz.wav     LEFT          Abridge9.jpg  1
1             2             SameContext   WithinFirst   j             f             1018          700Hz.wav     LEFT          AORIGIRL3.jpg 0
1             7             SameContext   WithinFirst   j             f             811           700Hz.wav     LEFT          ACEMPOST.jpg  0
1             13            SameContext   WithinSecond  j             j             2882          600Hz.wav     RIGHT         A_teabag.jpg  1
1             19            SameContext   WithinThird   j             f             1443          800Hz.wav     LEFT          AANTSTOV6.jpg 0
