Block         PositionCategory            Condition     ObjectFar     ObjectNear    RecencyRESP   RecencyCorrRESP             RecencyAcc    RecencyRT     DurationRESP  DurationRT    BoundaryItem
1             WithinFirst2  SameContext   A1OCLOC2.jpg  AANTCASH3.jpg f             j             0             10329         3             3175          ABAGEL.jpg
1             AcrossFirst2  Boundary      AASPHALT.jpg  ACHALCED2.jpg j             f             0             7051          2             3308          Apercussioni3.jpg
1             AcrossSecond1 Boundary      Acartofgroce3.jpg           ALITTERB2.jpg f             j             0             7764          2             2915          ACOFFTA18.jpg
1             WithinFourth2 SameContext   AGARBCAN.jpg  Alipstick3.jpg              j             f             0             8947          1             1065          ACATCAGE.jpg
1             WithinFourth1 SameContext   ABROKUMBR.jpg ALOAFBR4.jpg  j             f             0             6191          1             2725          ACATCAGE.jpg
1             WithinFirst1  SameContext   ABUDDHA18.jpg Anailscissors.jpg           j             j             1             6314          2             1565          ABAGEL.jpg
1             AcrossSecond2 Boundary      APHONEFA2.jpg Ababseat2.jpg f             f             1             3394          3             1459          ACOFFTA18.jpg
1             WithinThird1  SameContext   ACOFFTA18.jpg Akeyboard3.jpg              j             j             1             4844          4             1290          Ababseat2.jpg
1             AcrossFirst1  Boundary      AGOLFIRON.jpg anvil.jpg     j             j             1             7937          2             1003          Apercussioni3.jpg
1             WithinThird2  SameContext   AGRAINSI5.jpg AGLASSBA4.jpg j             f             0             4124          1             1899          Ababseat2.jpg
1             AcrossThird1  Boundary      A100FRAN3.jpg AHEADLI18.jpg j             j             1             4180          4             1370          ABROKUMBR.jpg
1             AcrossThird2  Boundary      ACOCONUT2.jpg ACATCAGE.jpg  j             f             0             2582          2             787           ABROKUMBR.jpg
1             WithinSecond1 SameContext   Apercussioni3.jpg           Agasblower2.jpg             f             j             0             9436          2             1705          ACHALCED2.jpg
1             WithinSecond2 SameContext   Aboxofchocola.jpg           acquarium.jpg f             f             1             5049          3             688           ACHALCED2.jpg
2             AcrossThird1  Boundary      ABUGLE2.jpg   Acampingknife.jpg           j             f             0             4963          2             1508          AHORSHOE2.jpg
2             WithinThird1  SameContext   Aboots56.jpg  ACDRAINER.jpg j             f             0             2476          3             2836          APARKMET6.jpg
2             WithinFirst2  SameContext   Apairofrubbe3.jpg           Aglassbottle6.jpg           j             j             1             3405          4             1173          ABLACSUI3.jpg
2             AcrossSecond1 Boundary      Aelephant9.jpg              A_coin.jpg    j             j             1             3568          2             1859          Aboots56.jpg
2             WithinSecond2 SameContext   Aantiquesofa4.jpg           AHYDRANTF.jpg f             f             1             3350          2             1432          Aancientstat3.jpg
2             WithinThird2  SameContext   ADESKLA12.jpg ACONBENCH.jpg f             j             0             8778          3             1798          APARKMET6.jpg
2             AcrossSecond2 Boundary      AARTPLANT.jpg APARKMET6.jpg f             f             1             3292          2             800           Aboots56.jpg
2             WithinFourth2 SameContext   AASCDESC.jpg  A3leafcl4.jpg f             f             1             2672          3             698           Acamera101.jpg
2             AcrossFirst1  Boundary      Abreakpl2.jpg AMUSICSTA.jpg j             j             1             3870          2             2270          ABLACKB14.jpg
2             AcrossThird2  Boundary      AANTSTOV6.jpg Acamera101.jpg              j             j             1             4226          1             942           AHORSHOE2.jpg
2             WithinFirst1  SameContext   Abackpack11.jpg             Abugle12.jpg  j             j             1             3881          1             2233          ABLACSUI3.jpg
2             AcrossFirst2  Boundary      AFOUNTAI5.jpg Aancientstat3.jpg           j             j             1             2198          3             1225          ABLACKB14.jpg
2             WithinFourth1 SameContext   AHORSHOE2.jpg Abicycleglove.jpg           f             f             1             4250          3             1036          Acamera101.jpg
2             WithinSecond1 SameContext   ABLACKB14.jpg Apokerchips3.jpg            j             f             0             4076          3             1789          Aancientstat3.jpg
3             AcrossThird2  Boundary      Abagofherbs.jpg             Agardeningshe.jpg           j             f             0             5977          3             1672          ACONSTRU9.jpg
3             AcrossThird1  Boundary      AMOUSWHEE.jpg Acactus58.jpg f             j             0             3953          1             526           ACONSTRU9.jpg
3             WithinFourth2 SameContext   Ameasuringsp5.jpg           AAEROBENC.jpg f             f             1             5743          2             958           Agardeningshe.jpg
3             AcrossFirst2  Boundary      ABALLYAR4.jpg Afirstaidkit3.jpg           j             f             0             7608          1             445           Aasianbuildin.jpg
3             WithinThird1  SameContext   ACONSTHA2.jpg Abrooch100.jpg              j             f             0             3218          3             1369          AARTIVE6.jpg
3             WithinFourth1 SameContext   ACONSTRU9.jpg Aflowerpot9.jpg             f             j             0             3685          4             595           Agardeningshe.jpg
3             AcrossSecond1 Boundary      Aleaf75.jpg   ADART3.jpg    f             j             0             4851          2             864           ACONSTHA2.jpg
3             AcrossSecond2 Boundary      Ablackboardw3.jpg           AARTIVE6.jpg  f             j             0             4158          4             628           ACONSTHA2.jpg
3             WithinFirst2  SameContext   Abutterflynet.jpg           ABROCHETT.jpg j             j             1             7026          1             748           ACEMPOST.jpg
3             WithinThird2  SameContext   Aclock261.jpg Abeesonahoney.jpg           f             j             0             2126          4             6067          AARTIVE6.jpg
3             WithinFirst1  SameContext   Achair618.jpg Acoral7.jpg   f             f             1             2323          2             633           ACEMPOST.jpg
3             WithinSecond2 SameContext   Abrassbu2.jpg Afloweredsan3.jpg           j             j             1             3023          3             1412          Afirstaidkit3.jpg
3             WithinSecond1 SameContext   Aasianbuildin.jpg           Ajetski15.jpg f             f             1             3199          3             855           Afirstaidkit3.jpg
3             AcrossFirst1  Boundary      Adaisies3.jpg Adiamondring3.jpg           j             f             0             3069          4             601           Aasianbuildin.jpg
4             WithinThird2  SameContext   Acabinetwithm.jpg           ACANOL.jpg    j             j             1             4501          3             3134          Ahighlightin2.jpg
4             WithinFourth2 SameContext   AARCHERY.jpg  AANTTRUCK.jpg f             j             0             3077          2             1737          ACHERRY.jpg
4             AcrossSecond2 Boundary      ABUMBBE2.jpg  Ahighlightin2.jpg           j             f             0             6472          3             1708          Afoodgrinder2.jpg
4             WithinThird1  SameContext   Afoodgrinder2.jpg           Acomputerbag.jpg            f             f             1             4885          2             601           Ahighlightin2.jpg
4             WithinFirst2  SameContext   APICNICBL.jpg Abellcookiec3.jpg           j             j             1             5448          2             824           AAFRICI13.jpg
4             WithinSecond1 SameContext   Adiscoball2.jpg             AELECBEA6.jpg j             f             0             5888          2             1353          Achest20.jpg
