Block         PositionCategory            Condition     ObjectFar     ObjectNear    RecencyRESP   RecencyCorrRESP             RecencyAcc    RecencyRT     DurationRESP  DurationRT    BoundaryItem
1             WithinFirst1  SameContext   airhocckytable.jpg          Aflask19.jpg  j             j             1             16148         2             23383         AAMBULAN7.jpg
1             AcrossThird1  Boundary      Alock34.jpg   ABLACSUI3.jpg f             f             1             13521         2             8535          Apeanut3.jpg
1             WithinSecond1 SameContext   ABULDOZER.jpg AASCDESC.jpg  f             f             1             6041          3             6373          Aconferencer3.jpg
1             WithinSecond2 SameContext   Ahourglass4.jpg             Afaucet9.jpg  j             f             0             14322         2             5540          Aconferencer3.jpg
1             AcrossSecond2 Boundary      Afloweredsan3.jpg           Abarn4.jpg    f             j             0             3566          2             3497          APICNICBL.jpg
1             AcrossFirst2  Boundary      Acoral7.jpg   Aconferencer3.jpg           f             f             1             4594          1             4657          ABULDOZER.jpg
1             AcrossSecond1 Boundary      AARCCHAR2.jpg APEELER.jpg   f             j             0             4210          3             3911          APICNICBL.jpg
1             WithinThird2  SameContext   ACATCAGE.jpg  ADINGHY.jpg   j             j             1             12641         3             2550          Abarn4.jpg
1             WithinFourth1 SameContext   Apeanut3.jpg  angelfish.jpg f             f             1             3417          1             2385          ABPIECE2.jpg
1             WithinFourth2 SameContext   ABUGLE2.jpg   APERSRUG.jpg  f             j             0             6425          3             3848          ABPIECE2.jpg
1             AcrossFirst1  Boundary      ABREASPU2.jpg ant.jpg       j             f             0             2541          4             3876          ABULDOZER.jpg
1             AcrossThird2  Boundary      ADRYWOOD.jpg  ABPIECE2.jpg  f             j             0             7160          3             2717          Apeanut3.jpg
1             WithinFirst2  SameContext   ABATHTUB3.jpg Agiftbag20.jpg              j             j             1             1922          3             1094          AAMBULAN7.jpg
1             WithinThird1  SameContext   APICNICBL.jpg Acartofgroce3.jpg           f             f             1             3532          3             2208          Abarn4.jpg
2             AcrossSecond2 Boundary      AELECRAZ7.jpg Aornamentalt5.jpg           f             f             1             14511         1             4076          Anailscissors.jpg
2             AcrossThird1  Boundary      A100FRAN3.jpg AKNIFECOL.jpg j             f             0             10505         2             6522          Abowlofporrid.jpg
2             AcrossThird2  Boundary      AARMYTRUK.jpg ADART3.jpg    j             j             1             5585          1             933           Abowlofporrid.jpg
2             WithinThird1  SameContext   Anailscissors.jpg           AGARLICCO.jpg f             f             1             4914          3             1476          Aornamentalt5.jpg
2             WithinFirst1  SameContext   AHIBACHI.jpg  Agarbagebag.jpg             f             j             0             63228         2             3369          Abrassbu2.jpg
2             WithinFourth2 SameContext   AARTIVE6.jpg  AMEATGR14.jpg j             f             0             2966          1             558           ADART3.jpg
2             WithinFirst2  SameContext   ACROQUET2.jpg AFERRY5.jpg   j             j             1             4774          3             1087          Abrassbu2.jpg
2             WithinFourth1 SameContext   Abowlofporrid.jpg           ANUTCRA10.jpg f             j             0             6605          1             1133          ADART3.jpg
2             AcrossFirst1  Boundary      ABULLDOG5.jpg APEPPSHA4.jpg j             j             1             8393          2             1859          AAIRPUMP2.jpg
2             WithinSecond2 SameContext   Ababmonit.jpg APHONEFA2.jpg f             j             0             1519          1             2329          Ababybottle15.jpg
2             WithinSecond1 SameContext   AAIRPUMP2.jpg AELECBE17.jpg f             f             1             2156          2             2072          Ababybottle15.jpg
2             WithinThird2  SameContext   AARMCHA25.jpg AARTICHO1.jpg j             f             0             4435          3             1807          Aornamentalt5.jpg
2             AcrossFirst2  Boundary      AHYDRANTF.jpg Ababybottle15.jpg           f             f             1             8972          2             1266          AAIRPUMP2.jpg
2             AcrossSecond1 Boundary      ABUMBBE2.jpg  ABAGEL.jpg    f             j             0             2114          3             1399          Anailscissors.jpg
3             WithinThird2  SameContext   Abinder6.jpg  Abreadrolls.jpg             j             j             1             5233          4             5026          AFISHNET3.jpg
3             AcrossFirst1  Boundary      ADECKCARD.jpg AANBABYCA.jpg j             j             1             8870          4             2783          Ameasuringsp5.jpg
3             WithinFourth2 SameContext   Apaperclip6.jpg             ACAT6.jpg     f             f             1             4641          2             4254          Abeesonahoney.jpg
3             AcrossSecond1 Boundary      Aflowerpot9.jpg             AMIXER1.jpg   f             j             0             6365          3             1870          Abagofherbs.jpg
3             AcrossSecond2 Boundary      Aleaf75.jpg   AFISHNET3.jpg j             j             1             4152          3             2998          Abagofherbs.jpg
3             WithinFourth1 SameContext   AOPGLASS.jpg  AEAREXAM2.jpg f             f             1             5961          2             1016          Abeesonahoney.jpg
3             WithinSecond2 SameContext   Akeyboard3.jpg              Abandage3.jpg f             f             1             2305          2             1367          A_teabag.jpg
3             AcrossFirst2  Boundary      AFUNNEL4.jpg  A_teabag.jpg  f             f             1             3427          3             1803          Ameasuringsp5.jpg
3             WithinThird1  SameContext   Abagofherbs.jpg             ADUSTER5.jpg  f             f             1             2464          3             945           AFISHNET3.jpg
3             WithinSecond1 SameContext   Ameasuringsp5.jpg           Afruitbasket2.jpg           j             f             0             4980          3             1797          A_teabag.jpg
3             AcrossThird1  Boundary      Abaleofhay.jpg              ACOWBOYH3.jpg j             j             1             5129          2             2005          AOPGLASS.jpg
3             WithinFirst1  SameContext   ACEMPOST.jpg  Aboxofchocola.jpg           j             j             1             3267          3             1544          AMOUSWHEE.jpg
3             WithinFirst2  SameContext   ACHAIR.jpg    Ahighlightin2.jpg           j             f             0             4958          4             1769          AMOUSWHEE.jpg
3             AcrossThird2  Boundary      ABARROWRE.jpg Abeesonahoney.jpg           j             j             1             1799          2             743           AOPGLASS.jpg
4             AcrossFirst2  Boundary      Adiscoball2.jpg             Agolfbag.jpg  f             f             1             7717          3             7861          ADESKLA12.jpg
4             WithinSecond2 SameContext   acquarium.jpg AORGAN.jpg    j             j             1             3415          2             895           Agolfbag.jpg
4             AcrossSecond1 Boundary      AANTSTOV6.jpg AGARDHOSE.jpg j             f             0             5075          3             1706          Aeasteregg14.jpg
4             WithinThird1  SameContext   Aeasteregg14.jpg            anvil.jpg     j             f             0             3050          2             1935          AHAMPER.jpg
4             AcrossFirst1  Boundary      APOGO4.jpg    ACDRAINER.jpg j             j             1             3120          3             1569          ADESKLA12.jpg
4             AcrossThird2  Boundary      AHEADLI18.jpg ACOWBELL6.jpg f             j             0             4439          2             2162          ABOX8.jpg
4             WithinFirst1  SameContext   ABALLYAR4.jpg ACAESALAD.jpg j             j             1             6130          4             1819          ABLOODCEA.jpg
4             AcrossThird1  Boundary      ACUTLERYB.jpg ARAILLIGH.jpg f             f             1             2351          3             1005          ABOX8.jpg
4             WithinThird2  SameContext   AARCHERY.jpg  Aclimbersicep.jpg           f             f             1             3709          2             3003          AHAMPER.jpg
4             AcrossSecond2 Boundary      Aairtank7.jpg AHAMPER.jpg   f             j             0             3398          2             1231          Aeasteregg14.jpg
4             WithinFirst2  SameContext   Acabinetwithm.jpg           ADRILL3.jpg   j             f             0             5840          3             1731          ABLOODCEA.jpg
4             WithinFourth1 SameContext   ABOX8.jpg     AMANJUI2.jpg  f             f             1             4330          3             1394          ACOWBELL6.jpg
4             WithinFourth2 SameContext   Apitchfork4.jpg             ACOMPAS20.jpg j             j             1             1734          2             984           ACOWBELL6.jpg
4             WithinSecond1 SameContext   ADESKLA12.jpg ACOMB11.jpg   j             j             1             6946          3             1343          Agolfbag.jpg
5             WithinThird1  SameContext   Acomputerbag.jpg            AIRONBOA8.jpg j             j             1             4908          3             3088          ACAMPFIRE.jpg
5             AcrossFirst1  Boundary      Achrisd25.jpg Abutterflynet.jpg           f             j             0             1864          2             1766          ALOAFBR4.jpg
5             WithinSecond1 SameContext   ALOAFBR4.jpg  Aopenbriefcas.jpg           j             j             1             2500          2             1588          Abrooch100.jpg
5             WithinFourth1 SameContext   AGARBCAN.jpg  AGOLDCUP6.jpg f             f             1             1296          3             2547          AJACKOL23.jpg
5             AcrossFirst2  Boundary      Aleopard19.jpg              Abrooch100.jpg              j             j             1             2501          3             2205          ALOAFBR4.jpg
