Block         PositionCategory            Condition     ObjectFar     ObjectNear    RecencyRESP   RecencyCorrRESP             RecencyAcc    RecencyRT     DurationRESP  DurationRT    BoundaryItem
1             AcrossThird1  Boundary      Alifeves2.jpg Abaseballcap.jpg            j             j             1             4366          2             2204          Agasblower2.jpg
1             WithinSecond1 SameContext   champagnbottles.jpg         Abuilding5.jpg              f             j             0             5315          3             2384          caiman.jpg
1             AcrossSecond2 Boundary      ACUSHIO60.jpg beachtowels.jpg             f             f             1             13313         2             3558          AGOLFIRON.jpg
1             AcrossFirst2  Boundary      ASKYDIVE.jpg  caiman.jpg    j             j             1             7247          2             2184          champagnbottles.jpg
1             WithinFourth2 SameContext   Ahawk3.jpg    AFBLADE.jpg   f             f             1             4359          3             5391          Aaircompress6.jpg
1             WithinFourth1 SameContext   Agasblower2.jpg             APICKLES6.jpg j             j             1             4879          1             1284          Aaircompress6.jpg
1             AcrossSecond1 Boundary      Aelephant9.jpg              ACEMPOST.jpg  j             f             0             4539          3             1476          AGOLFIRON.jpg
1             WithinThird1  SameContext   AGOLFIRON.jpg APIESERVE.jpg f             f             1             4556          1             2084          beachtowels.jpg
1             WithinThird2  SameContext   Achampagnebo2.jpg           Avacuum20.jpg f             f             1             3327          2             1522          beachtowels.jpg
1             WithinFirst1  SameContext   Agluegun.jpg  ABEDROOM8.jpg j             j             1             2832          2             1301          Asoapdish3.jpg
1             WithinFirst2  SameContext   Agiftbag20.jpg              Acastle22.jpg f             f             1             4027          2             1893          Asoapdish3.jpg
1             AcrossFirst1  Boundary      caterpillarpeacockmoth.jpg  ASTREESW2.jpg j             f             0             3535          3             1291          champagnbottles.jpg
1             AcrossThird2  Boundary      Afaucet9.jpg  Aaircompress6.jpg           j             j             1             5331          3             1624          Agasblower2.jpg
1             WithinSecond2 SameContext   APARSLEY.jpg  ACAROSLI2.jpg f             j             0             2507          2             5346          caiman.jpg
2             AcrossSecond2 Boundary      Abeesonahoney.jpg           ACOFFPOT3.jpg f             f             1             3816          3             2186          Asewingpin.jpg
2             WithinSecond2 SameContext   AGOLDCUP6.jpg APARKBENC.jpg f             f             1             5401          3             1860          B_makeupbag.jpg
2             AcrossThird1  Boundary      Aflower102.jpg              Aairtank7.jpg f             j             0             4519          2             864           Aashtray67.jpg
2             WithinThird1  SameContext   Asewingpin.jpg              Aantiquesofa4.jpg           j             j             1             2862          2             953           ACOFFPOT3.jpg
2             WithinFourth2 SameContext   AWATEHOSE.jpg Aancientstat3.jpg           j             j             1             3324          3             935           brown_bear.jpg
2             AcrossFirst1  Boundary      Astonecarvin8.jpg           ABLACSUI3.jpg j             f             0             2619          4             822           AHEDGEHOG.jpg
2             WithinFourth1 SameContext   Aashtray67.jpg              Acorn10.jpg   f             j             0             3349          2             1168          brown_bear.jpg
2             WithinSecond1 SameContext   AHEDGEHOG.jpg Abagofherbs.jpg             j             j             1             4219          2             2119          B_makeupbag.jpg
2             WithinFirst2  SameContext   bands-a.jpg   Aasianbuildin.jpg           j             j             1             2113          3             1182          Adaisies3.jpg
2             AcrossFirst2  Boundary      brownie.jpg   B_makeupbag.jpg             j             j             1             4841          3             2159          AHEDGEHOG.jpg
2             AcrossSecond1 Boundary      A1OCLOC2.jpg  Ahighlightin2.jpg           f             f             1             2112          3             1885          Asewingpin.jpg
2             AcrossThird2  Boundary      AFRAME15.jpg  brown_bear.jpg              f             f             1             3143          3             704           Aashtray67.jpg
2             WithinFirst1  SameContext   Aflask19.jpg  battery.jpg   f             f             1             4276          3             1550          Adaisies3.jpg
2             WithinThird2  SameContext   Agardeningpai.jpg           ABARPEAR.jpg  f             f             1             3372          3             1645          ACOFFPOT3.jpg
3             WithinSecond2 SameContext   ASNOWTOY2.jpg AARTPLANT.jpg j             j             1             3820          2             998           bison.jpg
3             WithinSecond1 SameContext   ATEALANT8.jpg ADUNEBUGG.jpg f             f             1             2583          3             2044          bison.jpg
3             AcrossSecond2 Boundary      Atennisball2.jpg            AMOUSWHEE.jpg f             f             1             2697          3             1082          Acanoe19.jpg
3             WithinFourth2 SameContext   Abaggcon2.jpg bolt.jpg      j             j             1             1912          3             1532          AMIXER1.jpg
3             AcrossThird2  Boundary      ATAPEDIS7.jpg AMIXER1.jpg   f             j             0             2139          2             696           Acabinetwithm.jpg
3             AcrossSecond1 Boundary      Asunflower3.jpg             Abucketwithcl.jpg           f             j             0             3059          2             840           Acanoe19.jpg
