Block         PositionCategory            Condition     ObjectFar     ObjectNear    RecencyRESP   RecencyCorrRESP             RecencyAcc    RecencyRT     DurationRESP  DurationRT    BoundaryItem
1             WithinFirst1  SameContext   Ahourglass4.jpg             ACOFFPOT3.jpg f             j             0             6981          3             15873         Ablackboardw3.jpg
1             WithinSecond1 SameContext   Acomputerkey2.jpg           Acampingknife.jpg           j             f             0             7810          2             6000          Aflask19.jpg
1             WithinFourth2 SameContext   ACOWBOYH3.jpg Abugle12.jpg  j             j             1             7194          2             3110          AORIGIRL3.jpg
1             AcrossFirst1  Boundary      AMICRO67.jpg  AJACKOL23.jpg f             j             0             6141          2             2694          Acomputerkey2.jpg
1             WithinThird2  SameContext   ABANJO5.jpg   APHONEFA2.jpg j             j             1             3348          3             1846          Aammonitefo14.jpg
1             WithinFirst2  SameContext   A3leafcl4.jpg Aopenbriefcas.jpg           j             j             1             8738          3             2576          Ablackboardw3.jpg
1             AcrossSecond2 Boundary      Aallterrain10.jpg           Aammonitefo14.jpg           f             f             1             6066          3             2765          ACUTLERYB.jpg
1             WithinThird1  SameContext   ACUTLERYB.jpg ACOMPAS20.jpg f             j             0             8488          2             1535          Aammonitefo14.jpg
1             AcrossThird2  Boundary      Aflower102.jpg              AORIGIRL3.jpg f             f             1             6581          3             1806          Agluegun.jpg
1             AcrossThird1  Boundary      Acentipede4.jpg             Aashtray67.jpg              f             j             0             14003         3             2689          Agluegun.jpg
1             AcrossFirst2  Boundary      AELECRAZ7.jpg Aflask19.jpg  j             f             0             3831          3             2104          Acomputerkey2.jpg
1             WithinSecond2 SameContext   Acanoe19.jpg  Acomputerbag.jpg            j             f             0             5259          3             1482          Aflask19.jpg
1             WithinFourth1 SameContext   Agluegun.jpg  Afloweredsan3.jpg           f             f             1             7459          3             6037          AORIGIRL3.jpg
1             AcrossSecond1 Boundary      Ababseat2.jpg APARSLEY.jpg  f             f             1             13774         3             1684          ACUTLERYB.jpg
2             WithinThird1  SameContext   Abreakpl2.jpg ACANOL.jpg    f             j             0             6043          3             3054          ABLOODCEA.jpg
2             WithinSecond2 SameContext   Abluebabybug4.jpg           Abaleofhay.jpg              j             f             0             5832          3             2283          ALADLE5.jpg
2             AcrossThird2  Boundary      AAFRIMAS5.jpg Aglasscontai3.jpg           j             j             1             3703          3             1789          ABROKUMBR.jpg
2             WithinFourth2 SameContext   ANUTCRA10.jpg Abeermug11.jpg              j             j             1             3130          3             820           Aglasscontai3.jpg
2             AcrossFirst2  Boundary      APICNICBL.jpg ALADLE5.jpg   j             f             0             4044          4             1494          ALOAFBR4.jpg
2             AcrossSecond2 Boundary      AARTIVE6.jpg  ABLOODCEA.jpg f             f             1             2629          2             2833          Abreakpl2.jpg
2             AcrossFirst1  Boundary      Achampagnebo2.jpg           ACAT6.jpg     f             f             1             4491          3             2116          ALOAFBR4.jpg
2             WithinFirst1  SameContext   AHAMPER.jpg   AGOAT10.jpg   f             f             1             4246          4             1113          Adiscoball2.jpg
2             WithinFirst2  SameContext   Acartofgroce3.jpg           Aeasteregg14.jpg            f             j             0             3966          3             1084          Adiscoball2.jpg
2             WithinFourth1 SameContext   ABROKUMBR.jpg Afirstaidkit3.jpg           f             f             1             3337          3             932           Aglasscontai3.jpg
2             AcrossSecond1 Boundary      ACONBENCH.jpg Apitchfork4.jpg             j             j             1             3456          2             437           Abreakpl2.jpg
2             WithinThird2  SameContext   AARCHERY.jpg  AARTICHO1.jpg j             j             1             4674          3             478           ABLOODCEA.jpg
