Block         PositionCategory            Condition     ObjectFar     ObjectNear    RecencyRESP   RecencyCorrRESP             RecencyAcc    RecencyRT     DurationRESP  DurationRT    BoundaryItem
1             WithinFourth1 SameContext   AHAMPER.jpg   ABREASPU2.jpg f             f             1             4465          2             6379          ABUGLE2.jpg
1             WithinFourth2 SameContext   Alaundrybask2.jpg           AHORSHOE2.jpg f             j             0             2568          3             2718          ABUGLE2.jpg
1             WithinSecond1 SameContext   APINGPON3.jpg ACROQUET2.jpg f             f             1             7963          4             2828          Acomputerbag.jpg
1             WithinThird1  SameContext   Adice10.jpg   Achest20.jpg  j             j             1             3389          1             3733          ACREAME11.jpg
1             AcrossFirst2  Boundary      A_teabag.jpg  Acomputerbag.jpg            j             j             1             2831          3             2267          APINGPON3.jpg
1             WithinFirst1  SameContext   Aopenbriefcas.jpg           Abaseballcap.jpg            j             j             1             9312          4             2081          ABANJO5.jpg
1             WithinSecond2 SameContext   AOPGLASS.jpg  Ahawk3.jpg    j             j             1             7156          3             1033          Acomputerbag.jpg
1             AcrossThird1  Boundary      AASCDESC.jpg  Abugle12.jpg  f             f             1             2186          3             804           AHAMPER.jpg
1             AcrossSecond2 Boundary      AHIBACHI.jpg  ACREAME11.jpg j             j             1             3365          3             1302          Adice10.jpg
1             WithinFirst2  SameContext   Agasblower2.jpg             ACRICKET2.jpg f             f             1             3285          4             1841          ABANJO5.jpg
1             WithinThird2  SameContext   Acomputer9.jpg              AFBLADE.jpg   f             f             1             2373          2             1218          ACREAME11.jpg
1             AcrossThird2  Boundary      Afoodgrinder2.jpg           ABUGLE2.jpg   j             j             1             3979          3             1072          AHAMPER.jpg
1             AcrossFirst1  Boundary      AICEUBETR.jpg AORGAN.jpg    f             f             1             3030          2             4611          APINGPON3.jpg
1             AcrossSecond1 Boundary      A95CHEROK.jpg ACANOL.jpg    j             f             0             3806          2             2216          Adice10.jpg
2             WithinFirst2  SameContext   A100FRAN3.jpg Ahighlightin2.jpg           f             f             1             5475          3             2979          Ababseat2.jpg
2             WithinFourth2 SameContext   angelfish.jpg Abananasundae.jpg           j             j             1             2688          2             1618          AGLASSBA4.jpg
2             AcrossFirst1  Boundary      Abellcookiec3.jpg           Abeesonahoney.jpg           j             f             0             2660          2             998           AMICRO67.jpg
2             WithinSecond2 SameContext   ACHEESEB3.jpg ACOMPAS20.jpg f             j             0             2927          3             1832          Agolfbag.jpg
2             WithinFourth1 SameContext   AFISHNET3.jpg Abottleopener.jpg           j             j             1             5460          2             1892          AGLASSBA4.jpg
2             WithinThird2  SameContext   AALTIRE2.jpg  AFRAME15.jpg  j             j             1             2998          2             1524          ADOGLEAS2.jpg
2             AcrossThird2  Boundary      ACOCONUT2.jpg AGLASSBA4.jpg f             f             1             2907          1             2740          AFISHNET3.jpg
2             WithinFirst1  SameContext   Acanoe19.jpg  ACEMPOST.jpg  j             j             1             2849          2             1949          Ababseat2.jpg
2             AcrossThird1  Boundary      Adaisies3.jpg Aleopard19.jpg              f             f             1             3180          2             1396          AFISHNET3.jpg
2             AcrossSecond2 Boundary      AGARDHOSE.jpg ADOGLEAS2.jpg j             f             0             2120          3             469           APEPPSHA4.jpg
