Block         PositionCategory            Condition     ObjectFar     ObjectNear    RecencyRESP   RecencyCorrRESP             RecencyAcc    RecencyRT     DurationRESP  DurationRT    BoundaryItem
1             AcrossFirst1  Boundary      AARTMELON.jpg Abreakpl2.jpg f             f             1             7535          3             4871          Agluegun.jpg
1             WithinSecond1 SameContext   Agluegun.jpg  ABUSINEST.jpg f             f             1             4513          2             4002          Abaleofhay.jpg
1             AcrossThird2  Boundary      Agarbagebag.jpg             AFILM.jpg     j             j             1             8811          2             2550          AEAREXAM2.jpg
1             WithinFirst2  SameContext   APUTTER.jpg   Achampagnebo2.jpg           j             j             1             5057          3             1775          ACANOL.jpg
1             AcrossFirst2  Boundary      Ameasuringsp5.jpg           Abaleofhay.jpg              j             f             0             7557          3             2004          Agluegun.jpg
1             WithinThird1  SameContext   Achrisd25.jpg ACHALCED2.jpg f             f             1             4466          2             1853          ACOFFPOT3.jpg
1             WithinThird2  SameContext   ABLACKB14.jpg Ababmonit.jpg f             j             0             6168          2             2335          ACOFFPOT3.jpg
1             WithinFourth1 SameContext   AEAREXAM2.jpg ACREAME11.jpg f             f             1             3802          2             1531          AFILM.jpg
1             AcrossSecond2 Boundary      Abandleaders2.jpg           ACOFFPOT3.jpg j             j             1             5506          3             602           Achrisd25.jpg
1             AcrossThird1  Boundary      AAEROBENC.jpg ABALLYAR4.jpg j             j             1             3296          2             516           AEAREXAM2.jpg
1             WithinSecond2 SameContext   ACAESALAD.jpg Acampingknife.jpg           f             f             1             2925          1             2055          Abaleofhay.jpg
1             AcrossSecond1 Boundary      Abinder6.jpg  Aancientbuild.jpg           j             j             1             3667          2             1577          Achrisd25.jpg
1             WithinFourth2 SameContext   Abugle12.jpg  Aantiquerota7.jpg           f             j             0             2094          1             1717          AFILM.jpg
1             WithinFirst1  SameContext   Alifebuo3.jpg Abeesonahoney.jpg           f             f             1             5381          4             2040          ACANOL.jpg
2             WithinFirst1  SameContext   AASPHALT.jpg  Aclock261.jpg j             f             0             4534          3             2382          ACOCONUT2.jpg
2             WithinFirst2  SameContext   APOTGOLD2.jpg APICNICBL.jpg j             j             1             5039          3             1966          ACOCONUT2.jpg
2             AcrossFirst1  Boundary      Afan49.jpg    ABILLTABL.jpg f             j             0             5653          3             2087          APARSLEY.jpg
2             AcrossFirst2  Boundary      ABOOK23.jpg   ABREASPU2.jpg j             j             1             5522          2             1328          APARSLEY.jpg
2             AcrossThird2  Boundary      AARTICHO1.jpg AANTCASH3.jpg j             j             1             2342          2             5883          ADESKLA12.jpg
2             WithinThird1  SameContext   AHYDRANTF.jpg AARMCHA25.jpg j             f             0             6810          2             1131          Aflowerpot9.jpg
2             WithinSecond1 SameContext   APARSLEY.jpg  Abloodorange.jpg            j             j             1             8063          3             684           ABREASPU2.jpg
2             AcrossSecond1 Boundary      AARTPLANT.jpg Abreadrolls.jpg             f             f             1             6608          2             1024          AHYDRANTF.jpg
2             AcrossThird1  Boundary      ACHEESEB3.jpg Abroom23.jpg  j             f             0             5136          2             1684          ADESKLA12.jpg
2             WithinSecond2 SameContext   Ajetski15.jpg APOGO4.jpg    f             f             1             5973          2             1403          ABREASPU2.jpg
2             WithinThird2  SameContext   AGOAT10.jpg   Abluebabybug4.jpg           f             f             1             2238          2             1007          Aflowerpot9.jpg
2             WithinFourth2 SameContext   AAMMO4.jpg    AMICROWA2.jpg j             j             1             3632          1             1280          AANTCASH3.jpg
2             AcrossSecond2 Boundary      AAMBULAN7.jpg Aflowerpot9.jpg             f             j             0             2584          1             1461          AHYDRANTF.jpg
2             WithinFourth1 SameContext   ADESKLA12.jpg Acarrot.jpg   f             f             1             1702          2             2017          AANTCASH3.jpg
3             AcrossThird2  Boundary      APEPPSHA4.jpg Abarn4.jpg    f             j             0             2693          2             1910          A_coin.jpg
3             WithinFourth1 SameContext   A_coin.jpg    Aglassbottle6.jpg           f             j             0             5903          2             1040          Abarn4.jpg
3             WithinThird2  SameContext   AMUSICSTA.jpg AARMYTRUK.jpg j             f             0             2392          2             908           Aconferencer3.jpg
3             AcrossThird1  Boundary      Aglasscontai3.jpg           Ababybottle15.jpg           f             f             1             3648          2             648           A_coin.jpg
3             WithinFirst2  SameContext   ABARROWRE.jpg AFOODBLEN.jpg f             j             0             2197          2             2111          AHEDGEHOG.jpg
3             AcrossFirst1  Boundary      APANCAKE3.jpg ABAGEL.jpg    f             f             1             5994          2             439           ABULLDOG5.jpg
3             WithinSecond2 SameContext   ADRUMSET3.jpg airhocckytable.jpg          j             f             0             2428          2             614           AHAMPER.jpg
3             AcrossSecond2 Boundary      ABARPEAR.jpg  Aconferencer3.jpg           f             f             1             1548          3             1469          AFBLADE.jpg
3             WithinFirst1  SameContext   Ahawk3.jpg    Acartofgroce3.jpg           f             f             1             2502          2             2230          AHEDGEHOG.jpg
3             WithinThird1  SameContext   AFBLADE.jpg   angelfish.jpg f             j             0             2708          1             428           Aconferencer3.jpg
3             AcrossSecond1 Boundary      APERSRUG.jpg  AHEADLI18.jpg j             j             1             1953          1             1076          AFBLADE.jpg
3             WithinSecond1 SameContext   ABULLDOG5.jpg Aelephant9.jpg              f             j             0             4370          2             512           AHAMPER.jpg
3             AcrossFirst2  Boundary      ACAMPFIRE.jpg AHAMPER.jpg   j             j             1             1330          2             627           ABULLDOG5.jpg
3             WithinFourth2 SameContext   Aflask19.jpg  Akeyboard3.jpg              f             f             1             2545          3             751           Abarn4.jpg
4             AcrossThird1  Boundary      ACHRIST14.jpg Afaucet9.jpg  j             j             1             2712          2             1712          ABUMBBE2.jpg
4             AcrossSecond1 Boundary      Apeanut3.jpg  ALOVSEA10.jpg f             j             0             5881          2             394           Aantiquejuke2.jpg
4             AcrossThird2  Boundary      AFERRAF40.jpg Anailscissors.jpg           f             f             1             2697          3             362           ABUMBBE2.jpg
4             WithinSecond2 SameContext   Acabinetwithm.jpg           Apercussioni3.jpg           f             j             0             2513          2             1056          ACONBENCH.jpg
