Block         PositionCategory            Condition     ObjectFar     ObjectNear    RecencyRESP   RecencyCorrRESP             RecencyAcc    RecencyRT     DurationRESP  DurationRT    BoundaryItem
1             AcrossThird2  Boundary      AFOODBLEN.jpg AORIGIRL3.jpg f             j             0             6381          3             5725          Abutterflynet.jpg
1             AcrossSecond2 Boundary      AASCDESC.jpg  ACANTELOP.jpg f             j             0             3593          3             4442          Agardeningshe.jpg
1             WithinSecond2 SameContext   Alifeves2.jpg Abreadrolls.jpg             j             f             0             4635          2             4528          AICEUBETR.jpg
1             AcrossFirst1  Boundary      ABLACKB14.jpg A_coin.jpg    j             f             0             3470          3             2612          AFUNNEL4.jpg
1             WithinThird1  SameContext   Agardeningshe.jpg           AGLASSBA4.jpg f             f             1             3924          3             2354          ACANTELOP.jpg
1             AcrossThird1  Boundary      Aclimbersicep.jpg           APERSRUG.jpg  f             f             1             2908          2             3093          Abutterflynet.jpg
1             WithinFourth1 SameContext   Abutterflynet.jpg           Apaperclip6.jpg             j             j             1             3717          3             2162          AORIGIRL3.jpg
1             AcrossSecond1 Boundary      ALITTERB2.jpg Abarn4.jpg    f             f             1             3083          4             5719          Agardeningshe.jpg
1             WithinFourth2 SameContext   AARCH.jpg     AALTIRE2.jpg  f             f             1             3171          2             2403          AORIGIRL3.jpg
1             AcrossFirst2  Boundary      ACHALCED2.jpg AICEUBETR.jpg f             j             0             2387          3             3655          AFUNNEL4.jpg
1             WithinSecond1 SameContext   AFUNNEL4.jpg  Ablouse2.jpg  f             j             0             3460          3             2586          AICEUBETR.jpg
1             WithinFirst1  SameContext   ant.jpg       Aopenbriefcas.jpg           f             j             0             5228          4             3676          ANWSPAPER.jpg
1             WithinThird2  SameContext   Abaleofhay.jpg              Abrassbu2.jpg j             f             0             7015          1             1554          ACANTELOP.jpg
1             WithinFirst2  SameContext   AANTICAN2.jpg Agraduationh2.jpg           f             j             0             3631          2             1968          ANWSPAPER.jpg
2             AcrossThird1  Boundary      AJACKOL23.jpg APARKBENC.jpg j             f             0             4698          3             2412          Aantiquesofa4.jpg
2             WithinFirst1  SameContext   Agolfbag.jpg  ADUSTER5.jpg  f             j             0             2548          2             1986          Abugle12.jpg
2             WithinFourth2 SameContext   ACAPTAIN9.jpg ACOCONUT2.jpg f             j             0             3905          2             1976          Ababseat2.jpg
2             AcrossSecond2 Boundary      ADOGSNACK.jpg ACOMB11.jpg   j             j             1             8087          2             2531          AAMMO4.jpg
2             WithinSecond2 SameContext   Abrooch100.jpg              Acastle22.jpg f             f             1             6022          2             2620          AFBLADE.jpg
2             WithinThird1  SameContext   AAMMO4.jpg    Abellcookiec3.jpg           f             j             0             3812          1             1870          ACOMB11.jpg
2             AcrossFirst1  Boundary      anvil.jpg     Aflower102.jpg              f             f             1             3353          3             1571          ABLACKNEC.jpg
2             WithinFirst2  SameContext   ADESKLA12.jpg angelfish.jpg f             f             1             2344          3             2453          Abugle12.jpg
2             AcrossFirst2  Boundary      Abreakpl2.jpg AFBLADE.jpg   j             f             0             3315          3             1983          ABLACKNEC.jpg
2             WithinSecond1 SameContext   ABLACKNEC.jpg Adog122.jpg   f             j             0             2925          2             1726          AFBLADE.jpg
2             WithinThird2  SameContext   AAFRIMAS5.jpg ACOFFTA18.jpg f             j             0             4318          1             1478          ACOMB11.jpg
2             AcrossThird2  Boundary      Anailscissors.jpg           Ababseat2.jpg f             j             0             2718          1             1599          Aantiquesofa4.jpg
2             WithinFourth1 SameContext   Aantiquesofa4.jpg           A100FRAN3.jpg j             f             0             2979          2             1826          Ababseat2.jpg
2             AcrossSecond1 Boundary      Aantiquerota7.jpg           Aconferencer3.jpg           j             f             0             5902          2             1399          AAMMO4.jpg
3             AcrossSecond2 Boundary      Abaggcon2.jpg AHAZELNU3.jpg f             j             0             4118          2             2181          ACEMPOST.jpg
