Block         PositionCategory            Condition     ObjectFar     ObjectNear    RecencyRESP   RecencyCorrRESP             RecencyAcc    RecencyRT     DurationRESP  DurationRT    BoundaryItem
1             AcrossThird2  Boundary      Aglasscontai3.jpg           AEAREXAM2.jpg j             f             0             14023         2             6364          AMOUSWHEE.jpg
1             WithinFourth2 SameContext   Agasblower2.jpg             AOPGLASS.jpg  j             j             1             4098          3             2458          AEAREXAM2.jpg
1             WithinFirst1  SameContext   ADART3.jpg    AFERRAF40.jpg f             f             1             8984          1             1909          AMIXER1.jpg
1             AcrossSecond2 Boundary      Afaucet9.jpg  Alifebuo3.jpg j             j             1             11943         3             5388          ABREASPU2.jpg
1             AcrossFirst2  Boundary      Aantiquejuke2.jpg           Abananasundae.jpg           j             j             1             4996          2             5044          Ablackboardw3.jpg
1             WithinSecond2 SameContext   ACAROUSE2.jpg AHAMPER.jpg   j             j             1             13392         1             1787          Abananasundae.jpg
1             WithinThird1  SameContext   ABREASPU2.jpg Abackpack11.jpg             f             f             1             3952          3             11109         Alifebuo3.jpg
1             AcrossThird1  Boundary      ACANE2.jpg    Apitchfork4.jpg             j             f             0             5285          2             2347          AMOUSWHEE.jpg
1             AcrossSecond1 Boundary      Ababmonit.jpg Aashtray67.jpg              j             j             1             12717         3             2624          ABREASPU2.jpg
1             WithinSecond1 SameContext   Ablackboardw3.jpg           APICNICBL.jpg f             f             1             5192          3             1658          Abananasundae.jpg
1             AcrossFirst1  Boundary      Aancientstat3.jpg           Acactus58.jpg f             f             1             4180          3             2386          Ablackboardw3.jpg
1             WithinFourth1 SameContext   AMOUSWHEE.jpg Alock34.jpg   f             j             0             3978          2             4406          AEAREXAM2.jpg
1             WithinFirst2  SameContext   Akeyboard3.jpg              APICKLES6.jpg j             j             1             3872          2             2280          AMIXER1.jpg
1             WithinThird2  SameContext   APIESERVE.jpg Achair618.jpg f             f             1             5900          3             2645          Alifebuo3.jpg
2             WithinSecond1 SameContext   Abandage3.jpg AELECBEA6.jpg j             j             1             11143         1             2201          aardvark.jpg
2             WithinThird1  SameContext   AAMBULAN7.jpg Acomputerbag.jpg            f             f             1             3928          3             6078          Abasket108.jpg
2             WithinThird2  SameContext   AHAZELNU3.jpg ADOGLEAS2.jpg j             f             0             4253          2             1408          Abasket108.jpg
2             WithinFirst1  SameContext   Aornamentalt5.jpg           Adoorknocker2.jpg           j             j             1             2218          2             2476          AORIGIRL3.jpg
2             AcrossThird2  Boundary      Aairtank7.jpg Aglassbottle6.jpg           f             f             1             2714          3             3522          ABLLIGHTB.jpg
2             AcrossFirst1  Boundary      AGOLFIRON.jpg AGARDHOSE.jpg f             j             0             8547          2             2176          Abandage3.jpg
2             WithinSecond2 SameContext   Abandleaders2.jpg           AHEDGEHOG.jpg j             j             1             3312          3             1667          aardvark.jpg
2             WithinFourth1 SameContext   ABLLIGHTB.jpg APEPPSHA4.jpg f             f             1             1877          3             1691          Aglassbottle6.jpg
2             AcrossSecond2 Boundary      Aancientbuild.jpg           Abasket108.jpg              j             j             1             6028          2             3632          AAMBULAN7.jpg
2             WithinFirst2  SameContext   AANTTRUCK.jpg ACUTLERYB.jpg f             f             1             1981          3             1751          AORIGIRL3.jpg
2             AcrossFirst2  Boundary      ARAILLIGH.jpg aardvark.jpg  j             j             1             3509          2             1346          Abandage3.jpg
2             AcrossThird1  Boundary      ACUSHIO60.jpg Abaseballcap.jpg            j             j             1             3087          3             2819          ABLLIGHTB.jpg
2             AcrossSecond1 Boundary      Aconferencer3.jpg           ADAQUIRI.jpg  j             f             0             6204          2             1363          AAMBULAN7.jpg
2             WithinFourth2 SameContext   ACOFFTA18.jpg Alifeves2.jpg f             f             1             2319          2             1461          Aglassbottle6.jpg
3             WithinThird2  SameContext   Ajetski15.jpg AARTIVE6.jpg  f             f             1             3403          3             1908          ADECKCARD.jpg
3             WithinThird1  SameContext   AMASCARA.jpg  AMUSICSTA.jpg f             f             1             6125          3             998           ADECKCARD.jpg
3             AcrossThird1  Boundary      ACATCAGE.jpg  ACOFFPOT3.jpg j             j             1             2680          3             2889          Acarrot.jpg
3             WithinFourth1 SameContext   Acarrot.jpg   Abugle12.jpg  j             j             1             8288          2             2742          AANBABYCA.jpg
3             WithinSecond1 SameContext   AIRONBOA8.jpg AELECRAZ7.jpg j             j             1             5058          1             1185          AARCCHAR2.jpg
3             WithinFirst2  SameContext   AARCHERY.jpg  Afloppydisk6.jpg            f             f             1             4380          2             1442          Abarn4.jpg
3             WithinFirst1  SameContext   ACHEESEB3.jpg Aflower102.jpg              f             f             1             2804          2             2353          Abarn4.jpg
3             AcrossFirst2  Boundary      ACDRAINER.jpg AARCCHAR2.jpg f             f             1             3395          3             3643          AIRONBOA8.jpg
3             AcrossFirst1  Boundary      ADINGHY.jpg   Acementfinish.jpg           j             f             0             3864          2             4528          AIRONBOA8.jpg
3             AcrossThird2  Boundary      Apercussioni3.jpg           AANBABYCA.jpg j             j             1             2822          3             1643          Acarrot.jpg
3             WithinFourth2 SameContext   AFRAME15.jpg  A1OCLOC2.jpg  j             j             1             3406          2             926           AANBABYCA.jpg
3             AcrossSecond2 Boundary      Acomputerkey2.jpg           ADECKCARD.jpg j             f             0             3217          2             1895          AMASCARA.jpg
3             AcrossSecond1 Boundary      ALADLE5.jpg   Acomputer9.jpg              j             j             1             4385          3             1263          AMASCARA.jpg
3             WithinSecond2 SameContext   Aopenbriefcas.jpg           Abrooch100.jpg              f             j             0             5655          1             1201          AARCCHAR2.jpg
4             WithinThird2  SameContext   Abucketwithcl.jpg           ADOGFOOD.jpg  j             j             1             2802          3             1895          Abaggcon2.jpg
4             WithinSecond1 SameContext   Apaperclip6.jpg             anvil.jpg     f             f             1             3641          3             3065          Apairofrubbe3.jpg
4             AcrossThird1  Boundary      AELECBE17.jpg AKNIFECOL.jpg j             f             0             2314          4             3904          ABOOK23.jpg
4             AcrossSecond2 Boundary      ANUTCRA10.jpg Abaggcon2.jpg f             j             0             3924          2             1082          ABUSINEST.jpg
4             WithinFirst1  SameContext   Ablouse2.jpg  ACANTELOP.jpg j             j             1             2720          2             1408          ABEDROOM8.jpg
4             AcrossThird2  Boundary      ABIRDHOU9.jpg Abreadrolls.jpg             f             f             1             4124          3             2354          ABOOK23.jpg
4             WithinFirst2  SameContext   AHONEYJA2.jpg ALITTERB2.jpg f             f             1             3412          1             2652          ABEDROOM8.jpg
4             AcrossFirst1  Boundary      Agarbagebag.jpg             APEELER.jpg   j             j             1             5235          3             2059          Apaperclip6.jpg
4             AcrossFirst2  Boundary      Aconcreteblo3.jpg           Apairofrubbe3.jpg           j             f             0             4880          2             1036          Apaperclip6.jpg
4             WithinFourth2 SameContext   ADESKLA12.jpg Achest20.jpg  j             j             1             4275          3             1861          Abreadrolls.jpg
4             WithinSecond2 SameContext   ADRYWOOD.jpg  Arake3.jpg    j             j             1             4825          2             3199          Apairofrubbe3.jpg
4             AcrossSecond1 Boundary      Abuilding5.jpg              Ahourglass4.jpg             f             f             1             2995          2             5457          ABUSINEST.jpg
4             WithinFourth1 SameContext   ABOOK23.jpg   ABPIECE2.jpg  j             j             1             1703          3             1610          Abreadrolls.jpg
4             WithinThird1  SameContext   ABUSINEST.jpg AGOLDCUP6.jpg f             f             1             2550          4             1796          Abaggcon2.jpg
5             AcrossSecond1 Boundary      ACOMB11.jpg   Acastle22.jpg f             j             0             4931          2             1093          ABELL7.jpg
5             WithinFourth2 SameContext   ACHRIST14.jpg AARCH.jpg     f             j             0             4467          2             2237          A_coin.jpg
5             WithinFourth1 SameContext   ABARPEAR.jpg  ACONSTRU9.jpg f             f             1             3227          1             1522          A_coin.jpg
5             WithinSecond1 SameContext   AFUNNEL4.jpg  APOGO4.jpg    f             j             0             2128          3             1389          Adaisies3.jpg
5             WithinFirst1  SameContext   AANTSTOV6.jpg ACHINLAMP.jpg j             j             1             8664          2             2288          ACONBENCH.jpg
5             AcrossFirst2  Boundary      ACAPTAIN9.jpg Adaisies3.jpg f             j             0             3341          2             999           AFUNNEL4.jpg
5             AcrossSecond2 Boundary      Abeermug11.jpg              APARSLEY.jpg  f             f             1             2120          3             1597          ABELL7.jpg
5             AcrossFirst1  Boundary      AASPHALT.jpg  Ahighlightin2.jpg           j             f             0             3618          2             1083          AFUNNEL4.jpg
5             AcrossThird2  Boundary      Abellcookiec3.jpg           A_coin.jpg    f             f             1             2505          3             1513          ABARPEAR.jpg
5             WithinThird1  SameContext   ABELL7.jpg    ABROKUMBR.jpg f             f             1             1656          4             2886          APARSLEY.jpg
5             WithinThird2  SameContext   acquarium.jpg ADUNEBUGG.jpg j             j             1             8333          1             537           APARSLEY.jpg
5             AcrossThird1  Boundary      Abluebabybug4.jpg           A3leafcl4.jpg j             f             0             4002          3             1437          ABARPEAR.jpg
5             WithinFirst2  SameContext   Achrisd25.jpg ABAGEL.jpg    f             f             1             4031          2             505           ACONBENCH.jpg
5             WithinSecond2 SameContext   Aelephant9.jpg              Aboots56.jpg  j             j             1             6772          2             974           Adaisies3.jpg
6             AcrossThird2  Boundary      APHONEFA2.jpg Afoodgrinder2.jpg           f             f             1             2812          3             1561          AMANJUI2.jpg
6             WithinFourth2 SameContext   ABANJO5.jpg   ACEMPOST.jpg  j             j             1             3862          1             1447          Afoodgrinder2.jpg
6             WithinFourth1 SameContext   AMANJUI2.jpg  AARMCHA25.jpg j             f             0             2968          2             344           Afoodgrinder2.jpg
6             WithinSecond2 SameContext   Adiamondring3.jpg           Agardeningshe.jpg           f             f             1             3528          2             1516          ADRUMSET3.jpg
6             AcrossFirst2  Boundary      AHEADLI18.jpg ADRUMSET3.jpg f             f             1             1491          4             1622          ACREAME11.jpg
6             AcrossSecond1 Boundary      airhorn.jpg   A_teabag.jpg  f             f             1             2730          3             1017          Ababybottle15.jpg
6             AcrossFirst1  Boundary      Aantiquerota7.jpg           ADRILL3.jpg   j             j             1             6298          3             1669          ACREAME11.jpg
6             WithinFirst1  SameContext   AHEADSET.jpg  Acandlehold17.jpg           f             f             1             2766          1             1373          ACOCONUT2.jpg
6             WithinThird1  SameContext   Ababybottle15.jpg           ACOWBELL6.jpg j             j             1             4992          3             673           Alaundrybask2.jpg
6             WithinFirst2  SameContext   ACANOL.jpg    AHIBACHI.jpg  j             j             1             9149          2             1077          ACOCONUT2.jpg
6             AcrossSecond2 Boundary      Agluegun.jpg  Alaundrybask2.jpg           j             j             1             1851          4             2066          Ababybottle15.jpg
6             WithinSecond1 SameContext   ACREAME11.jpg ABIRDCAG2.jpg j             j             1             2725          2             1661          ADRUMSET3.jpg
6             AcrossThird1  Boundary      AANTHAT2.jpg  AFOUNTAI5.jpg f             f             1             5887          3             2017          AMANJUI2.jpg
6             WithinThird2  SameContext   AGOAT10.jpg   Abroom23.jpg  j             j             1             4510          1             1344          Alaundrybask2.jpg
7             WithinThird2  SameContext   AFILM.jpg     A100FRAN3.jpg j             f             0             5847          2             4970          AMICRO67.jpg
7             WithinSecond2 SameContext   Aboxofchocola.jpg           ADUSTER5.jpg  j             j             1             3664          2             1735          AARTICHO1.jpg
7             AcrossFirst2  Boundary      Alipstick3.jpg              AARTICHO1.jpg f             f             1             6815          3             2072          Apeanut3.jpg
7             AcrossThird2  Boundary      Abeverageingl.jpg           AGARBCAN.jpg  j             j             1             4627          3             2089          AHYDRANTF.jpg
7             WithinThird1  SameContext   AEIFFELTO.jpg ABUDDHA18.jpg f             f             1             1868          2             1842          AMICRO67.jpg
7             AcrossThird1  Boundary      Acoral7.jpg   Abowlofporrid.jpg           j             j             1             3718          3             1387          AHYDRANTF.jpg
7             WithinFourth2 SameContext   Aantiquebuck2.jpg           angelfish.jpg f             f             1             4279          3             2312          AGARBCAN.jpg
7             WithinSecond1 SameContext   Apeanut3.jpg  Agiftbag20.jpg              f             j             0             6819          3             1620          AARTICHO1.jpg
7             WithinFourth1 SameContext   AHYDRANTF.jpg Afan49.jpg    f             f             1             5391          2             3162          AGARBCAN.jpg
7             WithinFirst1  SameContext   Acartonofegg3.jpg           A3bday5.jpg   j             j             1             4039          2             1049          ACHALCED2.jpg
7             AcrossFirst1  Boundary      Adiscoball2.jpg             ABLACSUI3.jpg f             f             1             4657          2             1469          Apeanut3.jpg
