Block         PositionCategory            Condition     ObjectFar     ObjectNear    RecencyRESP   RecencyCorrRESP             RecencyAcc    RecencyRT     DurationRESP  DurationRT    BoundaryItem
1             AcrossThird1  Boundary      Acabinetwithm.jpg           ATROWEL2.jpg  f             j             0             4649          3             6133          ant.jpg
1             WithinSecond2 SameContext   Ateacherscert.jpg           AORIGIRL3.jpg f             f             1             4115          4             4906          Atoyblocks.jpg
1             AcrossFirst1  Boundary      Avacuum20.jpg Apairofrubbe3.jpg           f             f             1             6523          2             2158          ARASPBER2.jpg
1             AcrossSecond1 Boundary      caterpillarpeacockmoth.jpg  AFBLADE.jpg   f             f             1             3142          2             5936          AHIBACHI.jpg
1             WithinFourth1 SameContext   ant.jpg       Astrawberryde.jpg           j             j             1             1868          3             3522          ACOCONUT2.jpg
1             WithinThird1  SameContext   AHIBACHI.jpg  AEAREXAM2.jpg f             j             0             6755          3             3270          AREDPLUM.jpg
1             WithinSecond1 SameContext   ARASPBER2.jpg ACAMPFIRE.jpg j             j             1             2448          2             4754          Atoyblocks.jpg
1             AcrossSecond2 Boundary      Awindmill4.jpg              AREDPLUM.jpg  f             f             1             5127          2             1764          AHIBACHI.jpg
1             WithinFirst2  SameContext   AFRAME15.jpg  Atoydonkey.jpg              j             j             1             3538          1             1805          Aopenbriefcas.jpg
1             WithinFourth2 SameContext   ABELL7.jpg    Abreadrolls.jpg             j             f             0             2618          1             1982          ACOCONUT2.jpg
1             WithinFirst1  SameContext   champagnbottles.jpg         ABAGEL.jpg    j             j             1             1949          4             4584          Aopenbriefcas.jpg
1             AcrossThird2  Boundary      batteries-a.jpg             ACOCONUT2.jpg j             f             0             2820          2             2488          ant.jpg
1             WithinThird2  SameContext   ACAPTAIN9.jpg Abarn4.jpg    f             f             1             4262          4             4032          AREDPLUM.jpg
1             AcrossFirst2  Boundary      ABUMBBE2.jpg  Atoyblocks.jpg              f             j             0             7551          3             2926          ARASPBER2.jpg
2             WithinThird2  SameContext   ACAESALAD.jpg ACOFFPOT3.jpg f             f             1             3182          3             3791          brownie.jpg
2             AcrossThird2  Boundary      AFISHNET3.jpg AWEIGHTS3.jpg f             j             0             1654          4             2699          airhocckytable.jpg
2             WithinFourth2 SameContext   AOUTHOUSE.jpg AANTCASH3.jpg f             f             1             1841          2             2160          AWEIGHTS3.jpg
2             AcrossFirst1  Boundary      Aantiquerota7.jpg           Afan49.jpg    f             f             1             2488          2             2017          ATOWER3.jpg
2             AcrossFirst2  Boundary      cinnamonroll.jpg            Awomansshoe3.jpg            f             f             1             3222          4             3213          ATOWER3.jpg
2             WithinThird1  SameContext   Acartonofegg3.jpg           AWINTSOC2.jpg f             f             1             5480          2             2136          brownie.jpg
2             WithinSecond1 SameContext   ATOWER3.jpg   AANBABYCA.jpg f             f             1             4041          4             2819          Awomansshoe3.jpg
2             WithinSecond2 SameContext   ATOILBAG2.jpg babyswig.jpg  j             j             1             4349          3             2940          Awomansshoe3.jpg
2             WithinFirst1  SameContext   butternutsquash.jpg         bagelslicer.jpg             j             j             1             7769          4             2217          Ameasuringsp5.jpg
2             WithinFirst2  SameContext   Akeyboard3.jpg              Agraduationh2.jpg           j             j             1             1751          3             4553          Ameasuringsp5.jpg
2             WithinFourth1 SameContext   airhocckytable.jpg          APHONEFA2.jpg f             f             1             1702          1             1898          AWEIGHTS3.jpg
2             AcrossThird1  Boundary      broom.jpg     ABIRDCAG2.jpg j             j             1             6300          1             2215          airhocckytable.jpg
2             AcrossSecond1 Boundary      Agardeningpai.jpg           Arubberducky2.jpg           j             j             1             4317          2             2605          Acartonofegg3.jpg
2             AcrossSecond2 Boundary      ACOWBOYH3.jpg brownie.jpg   j             j             1             5806          2             3739          Acartonofegg3.jpg
